"N","min(origNodeNums)","q1(origNodeNums)","med(origNodeNums)","q3(origNodeNums)","max(origNodeNums)","avg(origNodeNums)","std(origNodeNums)","min(fluidMechPressure_timeDeriv1)","q1(fluidMechPressure_timeDeriv1)","med(fluidMechPressure_timeDeriv1)","q3(fluidMechPressure_timeDeriv1)","max(fluidMechPressure_timeDeriv1)","avg(fluidMechPressure_timeDeriv1)","std(fluidMechPressure_timeDeriv1)","min(vtkOriginalPointIds)","q1(vtkOriginalPointIds)","med(vtkOriginalPointIds)","q3(vtkOriginalPointIds)","max(vtkOriginalPointIds)","avg(vtkOriginalPointIds)","std(vtkOriginalPointIds)","min(X)","q1(X)","med(X)","q3(X)","max(X)","avg(X)","std(X)","min(Y)","q1(Y)","med(Y)","q3(Y)","max(Y)","avg(Y)","std(Y)","min(Z)","q1(Z)","med(Z)","q3(Z)","max(Z)","avg(Z)","std(Z)","vtkValidPointMask","Time"
1,2,2,2,2,2,2,0,0.87491,0.87491,0.87491,0.87491,0.87491,0.87491,0,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.01
1,2,2,2,2,2,2,0,0.99976,0.99976,0.99976,0.99976,0.99976,0.99976,0,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.02
1,2,2,2,2,2,2,0,0.99951,0.99951,0.99951,0.99951,0.99951,0.99951,0,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.03
1,2,2,2,2,2,2,0,0.99916,0.99916,0.99916,0.99916,0.99916,0.99916,0,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.04
1,2,2,2,2,2,2,0,0.99871,0.99871,0.99871,0.99871,0.99871,0.99871,0,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.05
1,2,2,2,2,2,2,0,0.99816,0.99816,0.99816,0.99816,0.99816,0.99816,0,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.06
1,2,2,2,2,2,2,0,0.99751,0.99751,0.99751,0.99751,0.99751,0.99751,0,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.07
1,2,2,2,2,2,2,0,0.99676,0.99676,0.99676,0.99676,0.99676,0.99676,0,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.08
1,2,2,2,2,2,2,0,0.99591,0.99591,0.99591,0.99591,0.99591,0.99591,0,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.09
1,2,2,2,2,2,2,0,0.99496,0.99496,0.99496,0.99496,0.99496,0.99496,0,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0.1
