origElemNum,globCoord-x,globCoord-y,mechStress-real-xx,mechStress-real-yy,mechStress-real-xy,mechStress-imag-xx,mechStress-imag-yy,mechStress-imag-xy,locCoord-xi,locCoord-eta
136,0.0088,0,-45869.2,-116112,159036,8.27589,20.9493,-1018.9,1,1
136,0.00881,-1.55589e-18,-42278.5,-107022,153825,8.12421,20.5653,-1016.75,1,0.983333
136,0.00882,-1.55765e-18,-38824.3,-98278.4,148601,7.9744,20.1861,-1014.59,1,0.966667
136,0.00883,-1.55942e-18,-35506,-89878.7,143362,7.82647,19.8117,-1012.44,1,0.95
136,0.00884,-1.75633e-18,-32323.3,-81822.2,138109,7.6804,19.4419,-1010.3,1,0.933333
136,0.00885,-1.75832e-18,-29275.7,-74107.5,132843,7.53619,19.0769,-1008.16,1,0.916667
136,0.00886,-1.56472e-18,-26362.7,-66733.7,127562,7.39384,18.7165,-1006.02,1,0.9
136,0.00887,-1.76229e-18,-23583.9,-59699.5,122268,7.25332,18.3608,-1003.88,1,0.883333
136,0.00888,-1.76428e-18,-20938.8,-53003.7,116960,7.11465,18.0098,-1001.75,1,0.866667
136,0.00889,-1.37376e-18,-18426.9,-46645.3,111638,6.97781,17.6634,-999.625,1,0.85
136,0.0089,-1.37531e-18,-16047.9,-40623.1,106303,6.8428,17.3216,-997.5,1,0.833333
136,0.00891,-1.37685e-18,-13801.2,-34935.9,100954,6.70961,16.9845,-995.379,1,0.816667
136,0.00892,-1.3784e-18,-11686.5,-29582.7,95591.1,6.57823,16.6519,-993.261,1,0.8
136,0.00893,-1.37994e-18,-9703.21,-24562.4,90215,6.44867,16.3239,-991.147,1,0.783333
136,0.00894,-1.38149e-18,-7850.98,-19873.7,84825.3,6.3209,16.0005,-989.036,1,0.766667
136,0.00895,-1.38303e-18,-6129.34,-15515.6,79422.3,6.19494,15.6816,-986.928,1,0.75
136,0.00896,-1.78017e-18,-4537.87,-11487,74005.8,6.07076,15.3673,-984.824,1,0.733333
136,0.00897,-1.78216e-18,-3076.11,-7786.77,68576,5.94837,15.0575,-982.723,1,0.716667
136,0.00898,-1.38767e-18,-1743.66,-4413.83,63132.8,5.82775,14.7522,-980.625,1,0.7
136,0.00899,-1.38921e-18,-540.057,-1367.08,57676.4,5.70891,14.4513,-978.53,1,0.683333
136,0.009,-1.78812e-18,535.111,1354.56,52206.8,5.59184,14.155,-976.439,1,0.666667
136,0.00901,-1.39231e-18,1482.28,3752.18,46724,5.47652,13.8631,-974.351,1,0.65
136,0.00902,-1.39385e-18,2301.86,5826.86,41228.1,5.36297,13.5756,-972.266,1,0.633333
136,0.00903,-1.79408e-18,2994.3,7579.66,35719.1,5.25116,13.2926,-970.185,1,0.616667
136,0.00904,-1.39694e-18,3560,9011.66,30197.1,5.14109,13.014,-968.107,1,0.6
136,0.00905,-1.39849e-18,3999.39,10123.9,24662,5.03276,12.7398,-966.032,1,0.583333
136,0.00906,-1.40003e-18,4312.89,10917.5,19114,4.92617,12.4699,-963.96,1,0.566667
136,0.00907,-1.40158e-18,4500.91,11393.5,13553.1,4.8213,12.2045,-961.892,1,0.55
136,0.00908,-1.40312e-18,4563.87,11552.8,7979.26,4.71815,11.9434,-959.827,1,0.533333
136,0.00909,-1.806e-18,4502.18,11396.7,2392.63,4.61672,11.6866,-957.765,1,0.516667
136,0.0091,-1.40621e-18,4316.26,10926,-3206.79,4.51699,11.4342,-955.706,1,0.5
136,0.00911,-1.40776e-18,4006.5,10141.9,-8818.95,4.41897,11.186,-953.65,1,0.483333
136,0.00912,-1.81196e-18,3573.32,9045.38,-14443.8,4.32265,10.9422,-951.597,1,0.466667
136,0.00913,-1.41085e-18,3017.12,7637.44,-20081.3,4.22802,10.7027,-949.548,1,0.45
136,0.00914,-1.41239e-18,2338.32,5919.13,-25731.5,4.13507,10.4674,-947.502,1,0.433333
136,0.00915,-1.81792e-18,1537.3,3891.46,-31394.2,4.04381,10.2364,-945.459,1,0.416667
136,0.00916,-1.81991e-18,614.467,1555.44,-37069.5,3.95422,10.0096,-943.419,1,0.4
136,0.00917,-1.8219e-18,-429.774,-1087.91,-42757.3,3.86631,9.78703,-941.382,1,0.383333
136,0.00918,-1.41858e-18,-1595.03,-4037.6,-48457.5,3.78005,9.5687,-939.348,1,0.366667
136,0.00919,-1.42012e-18,-2880.91,-7292.63,-54170.1,3.69546,9.35456,-937.317,1,0.35
136,0.0092,-1.42167e-18,-4287.01,-10852,-59895.1,3.61252,9.14462,-935.289,1,0.333333
136,0.00921,-1.82984e-18,-5812.95,-14714.7,-65632.5,3.53123,8.93884,-933.265,1,0.316667
136,0.00922,-1.42476e-18,-7458.33,-18879.8,-71382.1,3.45159,8.73723,-931.243,1,0.3
136,0.00923,-1.4263e-18,-9222.77,-23346.2,-77144,3.37358,8.53976,-929.225,1,0.283333
136,0.00924,-1.42785e-18,-11105.9,-28113,-82918.1,3.2972,8.34642,-927.21,1,0.266667
136,0.00925,-1.42939e-18,-13107.3,-33179.3,-88704.4,3.22245,8.15721,-925.197,1,0.25
136,0.00926,-1.43094e-18,-15226.6,-38544,-94502.8,3.14933,7.9721,-923.188,1,0.233333
136,0.00927,-1.84176e-18,-17463.4,-44206.2,-100313,3.07782,7.79108,-921.182,1,0.216667
136,0.00928,-1.43403e-18,-19817.4,-50165,-106136,3.00792,7.61414,-919.178,1,0.2
136,0.00929,-1.84574e-18,-22288.1,-56419.3,-111970,2.93963,7.44127,-917.178,1,0.183333
136,0.0093,-1.43712e-18,-24875.2,-62968.2,-117817,2.87293,7.27245,-915.18,1,0.166667
136,0.00931,-1.84971e-18,-27578.3,-69810.8,-123676,2.80784,7.10767,-913.186,1,0.15
136,0.00932,-1.44021e-18,-30397.1,-76946.1,-129546,2.74434,6.94692,-911.195,1,0.133333
136,0.00933,-1.85368e-18,-33331.1,-84373.2,-135428,2.68242,6.79018,-909.206,1,0.116667
136,0.00934,-1.4433e-18,-36380,-92091.1,-141322,2.62208,6.63744,-907.221,1,0.1
136,0.00935,-1.44485e-18,-39543.5,-100099,-147228,2.56332,6.48869,-905.238,1,0.0833333
136,0.00936,-1.44639e-18,-42821.1,-108396,-153146,2.50613,6.34392,-903.258,1,0.0666667
136,0.00937,-1.86163e-18,-46212.5,-116981,-159075,2.4505,6.20311,-901.282,1,0.05
136,0.00938,-1.44948e-18,-49717.3,-125853,-165016,2.39643,6.06625,-899.308,1,0.0333333
136,0.00939,-1.45103e-18,-53335.2,-135011,-170969,2.34392,5.93333,-897.337,1,0.0166667
136,0.0094,0,-57065.8,-144454,-176933,2.29296,5.80433,-895.369,1,0
136,0.00941,-1.45412e-18,-60908.7,-154182,-182909,2.24355,5.67924,-893.403,1,-0.0166667
136,0.00942,-1.45566e-18,-64863.7,-164194,-188896,2.19568,5.55806,-891.441,1,-0.0333333
136,0.00943,-1.87355e-18,-68930.3,-174488,-194895,2.14934,5.44076,-889.482,1,-0.05
136,0.00944,-1.45875e-18,-73108.1,-185063,-200906,2.10453,5.32734,-887.525,1,-0.0666667
136,0.00945,-1.4603e-18,-77396.9,-195920,-206927,2.06125,5.21778,-885.571,1,-0.0833333
136,0.00946,-1.46184e-18,-81796.2,-207056,-212960,2.01949,5.11207,-883.62,1,-0.1
136,0.00947,-1.46339e-18,-86305.8,-218472,-219005,1.97925,5.0102,-881.672,1,-0.116667
136,0.00948,-1.46493e-18,-90925.3,-230165,-225061,1.94052,4.91216,-879.727,1,-0.133333
136,0.00949,-1.88547e-18,-95654.2,-242136,-231128,1.90329,4.81793,-877.784,1,-0.15
136,0.0095,-1.46802e-18,-100492,-254383,-237206,1.86757,4.7275,-875.845,1,-0.166667
136,0.00951,-1.46957e-18,-105439,-266906,-243295,1.83335,4.64087,-873.908,1,-0.183333
136,0.00952,-1.89143e-18,-110495,-279703,-249396,1.80061,4.55801,-871.974,1,-0.2
136,0.00953,-1.47266e-18,-115659,-292774,-255508,1.76937,4.47892,-870.042,1,-0.216667
136,0.00954,-1.47421e-18,-120930,-306118,-261631,1.73961,4.40358,-868.114,1,-0.233333
136,0.00955,-1.47575e-18,-126309,-319734,-267765,1.71132,4.33199,-866.188,1,-0.25
136,0.00956,-1.4773e-18,-131795,-333621,-273909,1.68451,4.26412,-864.265,1,-0.266667
136,0.00957,-1.47884e-18,-137388,-347779,-280065,1.65917,4.19998,-862.345,1,-0.283333
136,0.00958,-1.90335e-18,-143087,-362206,-286232,1.6353,4.13954,-860.427,1,-0.3
136,0.00959,-1.48193e-18,-148893,-376902,-292410,1.61288,4.0828,-858.512,1,-0.316667
136,0.0096,-1.90733e-18,-154804,-391865,-298599,1.59192,4.02974,-856.6,1,-0.333333
136,0.00961,-1.48502e-18,-160821,-407096,-304798,1.57242,3.98036,-854.69,1,-0.35
136,0.00962,-1.48657e-18,-166943,-422593,-311009,1.55435,3.93464,-852.783,1,-0.366667
136,0.00963,-1.48811e-18,-173169,-438355,-317230,1.53773,3.89257,-850.879,1,-0.383333
136,0.00964,-1.91528e-18,-179500,-454381,-323462,1.52255,3.85413,-848.978,1,-0.4
136,0.00965,-1.4912e-18,-185936,-470671,-329705,1.5088,3.81933,-847.079,1,-0.416667
136,0.00966,-1.49275e-18,-192475,-487224,-335958,1.49648,3.78814,-845.183,1,-0.433333
136,0.00967,-1.49429e-18,-199118,-504040,-342222,1.48558,3.76056,-843.29,1,-0.45
136,0.00968,-1.49584e-18,-205864,-521116,-348497,1.47611,3.73657,-841.399,1,-0.466667
136,0.00969,-1.49738e-18,-212712,-538453,-354782,1.46805,3.71616,-839.511,1,-0.483333
136,0.0097,-1.9272e-18,-219664,-556049,-361078,1.46139,3.69932,-837.625,1,-0.5
136,0.00971,-1.92918e-18,-226717,-573904,-367384,1.45615,3.68605,-835.742,1,-0.516667
136,0.00972,-1.93117e-18,-233873,-592017,-373701,1.45231,3.67632,-833.862,1,-0.533333
136,0.00973,-1.50357e-18,-241130,-610388,-380028,1.44986,3.67014,-831.984,1,-0.55
136,0.00974,-1.50511e-18,-248488,-629015,-386366,1.44881,3.66748,-830.109,1,-0.566667
136,0.00975,-1.50666e-18,-255948,-647897,-392714,1.44915,3.66833,-828.236,1,-0.583333
136,0.00976,-1.93912e-18,-263508,-667035,-399072,1.45088,3.6727,-826.366,1,-0.6
136,0.00977,-1.50975e-18,-271168,-686426,-405441,1.45398,3.68056,-824.499,1,-0.616667
136,0.00978,-1.51129e-18,-278929,-706071,-411820,1.45846,3.6919,-822.634,1,-0.633333
136,0.00979,-1.72896e-18,-286789,-725968,-418209,1.46432,3.70672,-820.772,1,-0.65
136,0.0098,-1.73072e-18,-294749,-746117,-424609,1.47154,3.725,-818.912,1,-0.666667
136,0.00981,-1.51593e-18,-302808,-766517,-431019,1.48012,3.74673,-817.055,1,-0.683333
136,0.00982,-1.73426e-18,-310965,-787167,-437439,1.49007,3.77191,-815.2,1,-0.7
136,0.00983,-1.51902e-18,-319222,-808067,-443869,1.50137,3.80051,-813.348,1,-0.716667
136,0.00984,-1.73779e-18,-327576,-829215,-450309,1.51402,3.83254,-811.499,1,-0.733333
136,0.00985,-1.52211e-18,-336029,-850611,-456759,1.52802,3.86798,-809.652,1,-0.75
136,0.00986,-1.52365e-18,-344579,-872254,-463219,1.54337,3.90682,-807.807,1,-0.766667
136,0.00987,-1.5252e-18,-353226,-894144,-469690,1.56005,3.94905,-805.965,1,-0.783333
136,0.00988,-1.52675e-18,-361971,-916280,-476170,1.57807,3.99466,-804.125,1,-0.8
136,0.00989,-1.52829e-18,-370812,-938660,-482660,1.59741,4.04364,-802.288,1,-0.816667
136,0.0099,-1.52984e-18,-379749,-961285,-489161,1.61809,4.09598,-800.454,1,-0.833333
136,0.00991,-1.75015e-18,-388783,-984153,-495671,1.64009,4.15167,-798.621,1,-0.85
136,0.00992,-1.75192e-18,-397913,-1.00726e+06,-502191,1.66341,4.21069,-796.792,1,-0.866667
136,0.00993,-1.53447e-18,-407138,-1.03062e+06,-508721,1.68804,4.27305,-794.964,1,-0.883333
136,0.00994,-1.75545e-18,-416459,-1.05421e+06,-515260,1.71398,4.33872,-793.14,1,-0.9
136,0.00995,-1.75721e-18,-425875,-1.07804e+06,-521810,1.74124,4.4077,-791.317,1,-0.916667
136,0.00996,-1.53911e-18,-435385,-1.10212e+06,-528369,1.76979,4.47999,-789.497,1,-0.933333
136,0.00997,-1.54065e-18,-444990,-1.12643e+06,-534938,1.79964,4.55556,-787.68,1,-0.95
136,0.00998,-1.5422e-18,-454689,-1.15098e+06,-541516,1.83079,4.63441,-785.864,1,-0.966667
136,0.00999,-1.54374e-18,-464482,-1.17577e+06,-548105,1.86323,4.71653,-784.052,1,-0.983333
