origElemNum,globCoord-x,globCoord-y,mechVelocity-real-x,mechVelocity-real-y,mechVelocity-imag-x,mechVelocity-imag-y,locCoord-xi,locCoord-eta
136,0.0088,0,7.47909e-22,-5.55529e-08,-9.94509e-16,-0.699665,1,1
136,0.00881,-1.55589e-18,7.46981e-22,-5.50567e-08,-1.12344e-15,-0.70046,1,0.983333
136,0.00882,-1.55765e-18,7.55537e-22,-5.45609e-08,-1.12874e-15,-0.701255,1,0.966667
136,0.00883,-1.55942e-18,7.63878e-22,-5.40658e-08,-1.1334e-15,-0.70205,1,0.95
136,0.00884,-1.75633e-18,7.70756e-22,-5.35712e-08,-1.15405e-15,-0.702845,1,0.933333
136,0.00885,-1.75832e-18,7.78497e-22,-5.30771e-08,-1.16023e-15,-0.70364,1,0.916667
136,0.00886,-1.56472e-18,7.87246e-22,-5.25836e-08,-1.14916e-15,-0.704435,1,0.9
136,0.00887,-1.76229e-18,7.93439e-22,-5.20907e-08,-1.16906e-15,-0.70523,1,0.883333
136,0.00888,-1.76428e-18,8.00497e-22,-5.15984e-08,-1.17392e-15,-0.706025,1,0.866667
136,0.00889,-1.37376e-18,8.09474e-22,-5.11066e-08,-1.14867e-15,-0.70682,1,0.85
136,0.0089,-1.37531e-18,8.16009e-22,-5.06153e-08,-1.15335e-15,-0.707615,1,0.833333
136,0.00891,-1.37685e-18,8.22291e-22,-5.01247e-08,-1.15789e-15,-0.70841,1,0.816667
136,0.00892,-1.3784e-18,8.28392e-22,-4.96345e-08,-1.16143e-15,-0.709205,1,0.8
136,0.00893,-1.37994e-18,8.34103e-22,-4.9145e-08,-1.16686e-15,-0.71,1,0.783333
136,0.00894,-1.38149e-18,8.39631e-22,-4.8656e-08,-1.17123e-15,-0.710795,1,0.766667
136,0.00895,-1.38303e-18,8.44909e-22,-4.81675e-08,-1.1756e-15,-0.71159,1,0.75
136,0.00896,-1.78017e-18,8.47842e-22,-4.76797e-08,-1.2111e-15,-0.712385,1,0.733333
136,0.00897,-1.78216e-18,8.52704e-22,-4.71923e-08,-1.21446e-15,-0.71318,1,0.716667
136,0.00898,-1.38767e-18,8.59232e-22,-4.67056e-08,-1.18795e-15,-0.713975,1,0.7
136,0.00899,-1.38921e-18,8.63504e-22,-4.62194e-08,-1.19205e-15,-0.71477,1,0.683333
136,0.009,-1.78812e-18,8.65581e-22,-4.57338e-08,-1.22638e-15,-0.715565,1,0.666667
136,0.00901,-1.39231e-18,8.71293e-22,-4.52487e-08,-1.19982e-15,-0.71636,1,0.65
136,0.00902,-1.39385e-18,8.7481e-22,-4.47642e-08,-1.2036e-15,-0.717155,1,0.633333
136,0.00903,-1.79408e-18,8.76195e-22,-4.42802e-08,-1.23793e-15,-0.71795,1,0.616667
136,0.00904,-1.39694e-18,8.81091e-22,-4.37968e-08,-1.21079e-15,-0.718745,1,0.6
136,0.00905,-1.39849e-18,8.83854e-22,-4.3314e-08,-1.21433e-15,-0.71954,1,0.583333
136,0.00906,-1.40003e-18,8.86366e-22,-4.28317e-08,-1.2178e-15,-0.720335,1,0.566667
136,0.00907,-1.40158e-18,8.88626e-22,-4.235e-08,-1.22104e-15,-0.72113,1,0.55
136,0.00908,-1.40312e-18,8.90697e-22,-4.18688e-08,-1.22377e-15,-0.721925,1,0.533333
136,0.00909,-1.806e-18,8.90574e-22,-4.13882e-08,-1.2595e-15,-0.72272,1,0.516667
136,0.0091,-1.40621e-18,8.93899e-22,-4.09082e-08,-1.23092e-15,-0.723515,1,0.5
136,0.00911,-1.40776e-18,8.95215e-22,-4.04287e-08,-1.23332e-15,-0.724311,1,0.483333
136,0.00912,-1.81196e-18,8.94461e-22,-3.99498e-08,-1.26801e-15,-0.725106,1,0.466667
136,0.00913,-1.41085e-18,8.9691e-22,-3.94715e-08,-1.24015e-15,-0.725901,1,0.45
136,0.00914,-1.41239e-18,8.97411e-22,-3.89937e-08,-1.24302e-15,-0.726696,1,0.433333
136,0.00915,-1.81792e-18,8.95965e-22,-3.85165e-08,-1.27755e-15,-0.727491,1,0.416667
136,0.00916,-1.81991e-18,8.96042e-22,-3.80398e-08,-1.27948e-15,-0.728286,1,0.4
136,0.00917,-1.8219e-18,8.95808e-22,-3.75637e-08,-1.28216e-15,-0.729081,1,0.383333
136,0.00918,-1.41858e-18,8.96899e-22,-3.70881e-08,-1.25355e-15,-0.729876,1,0.366667
136,0.00919,-1.42012e-18,8.96199e-22,-3.66131e-08,-1.25546e-15,-0.730671,1,0.35
136,0.0092,-1.42167e-18,8.95136e-22,-3.61387e-08,-1.25867e-15,-0.731466,1,0.333333
136,0.00921,-1.82984e-18,8.92361e-22,-3.56648e-08,-1.29258e-15,-0.732261,1,0.316667
136,0.00922,-1.42476e-18,8.92366e-22,-3.51915e-08,-1.26306e-15,-0.733057,1,0.3
136,0.00923,-1.4263e-18,8.90604e-22,-3.47188e-08,-1.26501e-15,-0.733852,1,0.283333
136,0.00924,-1.42785e-18,8.88591e-22,-3.42466e-08,-1.2676e-15,-0.734647,1,0.266667
136,0.00925,-1.42939e-18,8.86326e-22,-3.3775e-08,-1.26965e-15,-0.735442,1,0.25
136,0.00926,-1.43094e-18,8.8381e-22,-3.33039e-08,-1.27162e-15,-0.736237,1,0.233333
136,0.00927,-1.84176e-18,8.79648e-22,-3.28334e-08,-1.30534e-15,-0.737032,1,0.216667
136,0.00928,-1.43403e-18,8.78024e-22,-3.23635e-08,-1.27533e-15,-0.737827,1,0.2
136,0.00929,-1.84574e-18,8.73399e-22,-3.18941e-08,-1.30846e-15,-0.738622,1,0.183333
136,0.0093,-1.43712e-18,8.71232e-22,-3.14252e-08,-1.27847e-15,-0.739418,1,0.166667
136,0.00931,-1.84971e-18,8.66094e-22,-3.0957e-08,-1.31246e-15,-0.740213,1,0.15
136,0.00932,-1.44021e-18,8.63435e-22,-3.04893e-08,-1.28186e-15,-0.741008,1,0.133333
136,0.00933,-1.85368e-18,8.57883e-22,-3.00221e-08,-1.31511e-15,-0.741803,1,0.116667
136,0.00934,-1.4433e-18,8.54632e-22,-2.95556e-08,-1.28467e-15,-0.742598,1,0.1
136,0.00935,-1.44485e-18,8.499e-22,-2.90895e-08,-1.28533e-15,-0.743393,1,0.0833333
136,0.00936,-1.44639e-18,8.44823e-22,-2.86241e-08,-1.28718e-15,-0.744188,1,0.0666667
136,0.00937,-1.86163e-18,8.38345e-22,-2.81592e-08,-1.31997e-15,-0.744984,1,0.05
136,0.00938,-1.44948e-18,8.34054e-22,-2.76948e-08,-1.28847e-15,-0.745779,1,0.0333333
136,0.00939,-1.45103e-18,8.28225e-22,-2.7231e-08,-1.28973e-15,-0.746574,1,0.0166667
136,0.0094,0,8.26346e-22,-2.67678e-08,-1.17519e-15,-0.747369,1,0
136,0.00941,-1.45412e-18,8.15902e-22,-2.63052e-08,-1.29214e-15,-0.748164,1,-0.0166667
136,0.00942,-1.45566e-18,8.09364e-22,-2.58431e-08,-1.29223e-15,-0.748959,1,-0.0333333
