origElemNum,globCoord-x,globCoord-y,fluidMechStrainRate-real-xx,fluidMechStrainRate-real-yy,fluidMechStrainRate-real-xy,fluidMechStrainRate-imag-xx,fluidMechStrainRate-imag-yy,fluidMechStrainRate-imag-xy,locCoord-xi,locCoord-eta
6,1.0842e-19,0,-1.35737e-11,-1.35745e-11,3.44516e-15,7.00297e-13,7.00724e-13,-1.36592e-14,1,1
11,1e-05,-1.03947e-20,-1.3111e-11,-1.3332e-11,9.81237e-05,6.9196e-13,6.91199e-13,-4.77341e-05,-0.977273,-0.977273
11,2e-05,5.08071e-20,-1.26517e-11,-1.30929e-11,0.000209657,6.83141e-13,6.81663e-13,-0.000103787,-0.954545,-0.954545
11,3e-05,-2.24004e-20,-1.21963e-11,-1.28569e-11,0.000335217,6.73845e-13,6.72351e-13,-0.000168053,-0.931818,-0.931818
11,4e-05,2.61026e-20,-1.17445e-11,-1.26242e-11,0.000475419,6.64123e-13,6.63248e-13,-0.00024043,-0.909091,-0.909091
11,5e-05,1.6706e-20,-1.12968e-11,-1.23946e-11,0.00063088,6.53989e-13,6.54346e-13,-0.000320812,-0.886364,-0.886364
11,6e-05,2.52495e-20,-1.08532e-11,-1.21681e-11,0.000802215,6.43441e-13,6.45671e-13,-0.000409095,-0.863636,-0.863636
11,7e-05,4.42085e-20,-1.04136e-11,-1.19449e-11,0.000990042,6.32499e-13,6.37194e-13,-0.000505176,-0.840909,-0.840909
11,8e-05,-3.42456e-20,-9.97833e-12,-1.17248e-11,0.00119497,6.2117e-13,6.28918e-13,-0.000608949,-0.818182,-0.818182
11,9e-05,2.89873e-20,-9.54742e-12,-1.15079e-11,0.00141763,6.09478e-13,6.20868e-13,-0.000720311,-0.795455,-0.795455
11,0.0001,-3.38731e-20,-9.12099e-12,-1.12942e-11,0.00165863,5.97418e-13,6.13014e-13,-0.000839157,-0.772727,-0.772727
11,0.00011,-3.52577e-20,-8.69913e-12,-1.10837e-11,0.00191858,5.85004e-13,6.05374e-13,-0.000965383,-0.75,-0.75
11,0.00012,-2.34274e-20,-8.28193e-12,-1.08764e-11,0.0021981,5.72281e-13,5.97928e-13,-0.00109889,-0.727273,-0.727273
11,0.00013,-1.14221e-20,-7.86951e-12,-1.06723e-11,0.00249781,5.59215e-13,5.90685e-13,-0.00123956,-0.704545,-0.704545
11,0.00014,-4.48236e-20,-7.46197e-12,-1.04713e-11,0.00281833,5.45844e-13,5.83644e-13,-0.0013873,-0.681818,-0.681818
11,0.00015,-5.26778e-20,-7.05941e-12,-1.02737e-11,0.00316026,5.32156e-13,5.76823e-13,-0.001542,-0.659091,-0.659091
11,0.00016,3.4277e-21,-6.66194e-12,-1.00792e-11,0.00352423,5.18205e-13,5.70186e-13,-0.00170357,-0.636364,-0.636364
11,0.00017,-4.68195e-20,-6.26966e-12,-9.88784e-12,0.00391085,5.03958e-13,5.63752e-13,-0.00187188,-0.613636,-0.613636
11,0.00018,-2.68029e-20,-5.88265e-12,-9.69979e-12,0.00432075,4.89451e-13,5.57528e-13,-0.00204685,-0.590909,-0.590909
11,0.00019,-4.99458e-20,-5.50111e-12,-9.5149e-12,0.00475452,4.74698e-13,5.51506e-13,-0.00222837,-0.568182,-0.568182
11,0.0002,-3.18203e-20,-5.12501e-12,-9.33321e-12,0.0052128,4.59696e-13,5.45673e-13,-0.00241632,-0.545455,-0.545455
11,0.00021,-4.25133e-20,-4.75457e-12,-9.15476e-12,0.0056962,4.44474e-13,5.40048e-13,-0.00261061,-0.522727,-0.522727
11,0.00022,-2.20229e-20,-4.38979e-12,-8.97955e-12,0.00620532,4.29033e-13,5.34608e-13,-0.00281114,-0.5,-0.5
11,0.00023,-4.45332e-20,-4.03087e-12,-8.80752e-12,0.0067408,4.13386e-13,5.29372e-13,-0.0030178,-0.477273,-0.477273
