origElemNum,globCoord-x,globCoord-y,fluidMechVelocity-real-x,fluidMechVelocity-real-y,fluidMechVelocity-imag-x,fluidMechVelocity-imag-y,locCoord-xi,locCoord-eta
6,1.0842e-19,0,5.69307e-18,4.10645e-18,8.14768e-17,2.88619e-17,1,1
11,1e-05,-1.03947e-20,-1.2773e-16,-1.01095e-06,8.84416e-17,3.78799e-07,-0.977273,-0.977273
11,2e-05,5.08071e-20,-2.56535e-16,-2.02552e-06,9.5312e-17,7.47256e-07,-0.954545,-0.954545
11,3e-05,-2.24004e-20,-3.80778e-16,-3.04361e-06,1.02102e-16,1.1053e-06,-0.931818,-0.931818
11,4e-05,2.61026e-20,-5.00475e-16,-4.0651e-06,1.08789e-16,1.45287e-06,-0.909091,-0.909091
11,5e-05,1.6706e-20,-6.15677e-16,-5.0899e-06,1.15379e-16,1.78988e-06,-0.886364,-0.886364
11,6e-05,2.52495e-20,-7.26424e-16,-6.11788e-06,1.21869e-16,2.11629e-06,-0.863636,-0.863636
11,7e-05,4.42085e-20,-8.32754e-16,-7.14892e-06,1.28248e-16,2.43201e-06,-0.840909,-0.840909
11,8e-05,-3.42456e-20,-9.34717e-16,-8.18289e-06,1.34517e-16,2.737e-06,-0.818182,-0.818182
11,9e-05,2.89873e-20,-1.03234e-15,-9.21966e-06,1.40669e-16,3.03118e-06,-0.795455,-0.795455
11,0.0001,-3.38731e-20,-1.12568e-15,-1.02591e-05,1.46707e-16,3.31449e-06,-0.772727,-0.772727
11,0.00011,-3.52577e-20,-1.21478e-15,-1.1301e-05,1.5262e-16,3.58687e-06,-0.75,-0.75
11,0.00012,-2.34274e-20,-1.29968e-15,-1.23453e-05,1.58405e-16,3.84826e-06,-0.727273,-0.727273
11,0.00013,-1.14221e-20,-1.38043e-15,-1.33917e-05,1.64063e-16,4.09861e-06,-0.704545,-0.704545
11,0.00014,-4.48236e-20,-1.45708e-15,-1.44402e-05,1.69589e-16,4.33785e-06,-0.681818,-0.681818
11,0.00015,-5.26778e-20,-1.52969e-15,-1.54906e-05,1.74979e-16,4.56593e-06,-0.659091,-0.659091
11,0.00016,3.4277e-21,-1.59829e-15,-1.65426e-05,1.80231e-16,4.78279e-06,-0.636364,-0.636364
11,0.00017,-4.68195e-20,-1.66295e-15,-1.75961e-05,1.85343e-16,4.98838e-06,-0.613636,-0.613636
11,0.00018,-2.68029e-20,-1.7237e-15,-1.86509e-05,1.9031e-16,5.18265e-06,-0.590909,-0.590909
11,0.00019,-4.99458e-20,-1.78062e-15,-1.97068e-05,1.95131e-16,5.36554e-06,-0.568182,-0.568182
