#1:iter	2:freq	3:reflectedWave	4:duration	5:plain_volume
0 	500.0 	4128.4 	0.107747 	0.5
1 	500.0 	4128.4 	0.00342792 	0.5
2 	500.0 	3095.37 	0.0066479 	0.157918
3 	500.0 	9506.49 	0.00607849 	0.126491
4 	500.0 	4672.96 	0.00764283 	0.15232
5 	500.0 	6129.9 	0.00475425 	0.10472
6 	500.0 	3155.45 	0.00718496 	0.143064
7 	500.0 	3243.8 	0.00460623 	0.175308
8 	500.0 	1558.62 	0.00466758 	0.168349
9 	500.0 	467.078 	0.00661383 	0.196647
10 	500.0 	725.795 	0.00471209 	0.21521
11 	500.0 	997.31 	0.00649401 	0.227158
12 	500.0 	414.992 	0.00579237 	0.205388
13 	500.0 	85.7602 	0.00459304 	0.229719
14 	500.0 	6.58061 	0.00449661 	0.228463
15 	500.0 	49.9835 	0.00504668 	0.23985
16 	500.0 	557.658 	0.00530793 	0.261999
17 	500.0 	25.7544 	0.00435014 	0.245525
18 	500.0 	502.44 	0.00475904 	0.273079
19 	500.0 	34.5454 	0.00584786 	0.279415
20 	500.0 	58.0803 	0.00460835 	0.284478
21 	500.0 	87.7809 	0.00716056 	0.295192
22 	500.0 	25.9839 	0.0052428 	0.306573
23 	500.0 	21.8871 	0.00447312 	0.295118
24 	500.0 	12.0589 	0.00457436 	0.304149
25 	500.0 	8.149 	0.00527014 	0.297573
26 	500.0 	7.17611 	0.00477128 	0.301875
27 	500.0 	5.47322 	0.00443331 	0.298337
28 	500.0 	4.54809 	0.00473885 	0.299878
29 	500.0 	4.668 	0.00518906 	0.295981
30 	500.0 	4.37691 	0.00457952 	0.298295
