#1:iter	2:freq	3:slack	4:objective_0	5:objective_1	6:objective_2	7:objective_3	8:duration	9:reflectedWave	10:reflectedWave	11:reflectedWave	12:reflectedWave	13:nObj
0 	(mult) 	9998 	0 	0 	0 	9998 	0.107399 	7936.81 	1923.68 	1793.72 	8619.03 	2
1 	(mult) 	9996 	0 	0 	0 	9996 	0.00919479 	7936.81 	1923.68 	1793.72 	8619.03 	3
2 	(mult) 	8619.03 	0 	0 	0 	8619.03 	0.03921 	7936.81 	1923.68 	1793.72 	8619.03 	8
3 	(mult) 	0 	0 	0 	0 	0 	0.0165777 	7600.47 	1288.72 	1119.48 	8247.71 	10
4 	(mult) 	4.06755 	0 	0 	0 	4.06755 	0.00939318 	7600.47 	1288.72 	1119.48 	8247.71 	11
5 	(mult) 	16.2702 	0 	0 	0 	16.2702 	0.00899438 	7600.47 	1288.72 	1119.48 	8247.71 	12
6 	(mult) 	52.8781 	0 	0 	0 	52.8781 	0.0103989 	7600.47 	1288.72 	1119.48 	8247.71 	13
7 	(mult) 	162.702 	0 	0 	0 	162.702 	0.00924367 	7600.47 	1288.72 	1119.48 	8247.71 	14
8 	(mult) 	492.173 	0 	0 	0 	492.173 	0.0093486 	7600.47 	1288.72 	1119.48 	8247.71 	15
9 	(mult) 	1480.59 	0 	0 	0 	1480.59 	0.00946004 	7600.47 	1288.72 	1119.48 	8247.71 	16
10 	(mult) 	4445.83 	0 	0 	0 	4445.83 	0.0090027 	7600.47 	1288.72 	1119.48 	8247.71 	17
11 	(mult) 	8247.71 	0 	0 	0 	8247.71 	0.00968655 	7600.47 	1288.72 	1119.48 	8247.71 	18
12 	(mult) 	8247.71 	0 	0 	0 	8247.71 	0.00130812 	7600.47 	1288.72 	1119.48 	8247.71 	19
