#1:iter	2:freq	3:dynamicOutput	4:objective_0	5:objective_1	6:duration	7:volume	8:physical_volume	9:physical_greyness
0 	(mult) 	315588 	354565 	315588 	0.082 	0.5 	0.5 	1
1 	(mult) 	315588 	354565 	315588 	0.001 	0.5 	0.411795 	0.343173
2 	(mult) 	354387 	330065 	354387 	0.004 	0.411795 	0.372728 	0.715448
3 	(mult) 	578846 	724587 	578846 	0.003 	0.372728 	0.482731 	0.665361
4 	(mult) 	465633 	428105 	465633 	0.003 	0.482731 	0.42453 	0.762933
5 	(mult) 	896020 	915195 	896020 	0.003 	0.42453 	0.383356 	0.596079
6 	(mult) 	1.06357e+06 	1.04753e+06 	1.06357e+06 	0.003 	0.383356 	0.382125 	0.689501
7 	(mult) 	732025 	880934 	732025 	0.003 	0.382125 	0.435534 	0.728806
8 	(mult) 	697805 	633997 	697805 	0.003 	0.435534 	0.373919 	0.649373
9 	(mult) 	863269 	992290 	863269 	0.003 	0.373919 	0.415058 	0.707377
10 	(mult) 	819799 	743668 	819799 	0.003 	0.415058 	0.381726 	0.65907
11 	(mult) 	1.05458e+06 	1.03053e+06 	1.05458e+06 	0.003 	0.381726 	0.363148 	0.622453
12 	(mult) 	810325 	949990 	810325 	0.003 	0.363148 	0.393511 	0.679472
13 	(mult) 	987358 	916200 	987358 	0.003 	0.393511 	0.371985 	0.641632
14 	(mult) 	1.02318e+06 	1.06682e+06 	1.02318e+06 	0.003 	0.371985 	0.380541 	0.652556
15 	(mult) 	1.04137e+06 	978053 	1.04137e+06 	0.003 	0.380541 	0.370695 	0.634987
16 	(mult) 	1.05862e+06 	1.05871e+06 	1.05862e+06 	0.003 	0.370695 	0.372763 	0.639028
17 	(mult) 	1.06295e+06 	1.01448e+06 	1.06295e+06 	0.004 	0.372763 	0.366029 	0.625964
18 	(mult) 	1.06132e+06 	1.05181e+06 	1.06132e+06 	0.003 	0.366029 	0.369882 	0.642197
19 	(mult) 	1.05689e+06 	1.05984e+06 	1.05689e+06 	0.003 	0.369882 	0.368491 	0.632065
20 	(mult) 	1.06715e+06 	1.0408e+06 	1.06715e+06 	0.003 	0.368491 	0.366396 	0.630599
21 	(mult) 	1.05734e+06 	1.058e+06 	1.05734e+06 	0.003 	0.366396 	0.370654 	0.643734
22 	(mult) 	1.06494e+06 	1.04788e+06 	1.06494e+06 	0.004 	0.370654 	0.366393 	0.635323
23 	(mult) 	1.05963e+06 	1.05728e+06 	1.05963e+06 	0.003 	0.366393 	0.368561 	0.644467
24 	(mult) 	1.06268e+06 	1.05372e+06 	1.06268e+06 	0.003 	0.368561 	0.366084 	0.641879
25 	(mult) 	1.05866e+06 	1.05899e+06 	1.05866e+06 	0.003 	0.366084 	0.366241 	0.646408
26 	(mult) 	1.06174e+06 	1.05548e+06 	1.06174e+06 	0.003 	0.366241 	0.364345 	0.646888
27 	(mult) 	1.05907e+06 	1.05877e+06 	1.05907e+06 	0.005 	0.364345 	0.362609 	0.64848
28 	(mult) 	1.06016e+06 	1.0578e+06 	1.06016e+06 	0.003 	0.362609 	0.360379 	0.650143
29 	(mult) 	1.05816e+06 	1.05978e+06 	1.05816e+06 	0.004 	0.360379 	0.35961 	0.654858
30 	(mult) 	1.05869e+06 	1.05936e+06 	1.05869e+06 	0.003 	0.35961 	0.361403 	0.649308
31 	(mult) 	1.05998e+06 	1.05805e+06 	1.05998e+06 	0.004 	0.361403 	0.360033 	0.653306
32 	(mult) 	1.05873e+06 	1.05934e+06 	1.05873e+06 	0.003 	0.360033 	0.359537 	0.653418
33 	(mult) 	1.05907e+06 	1.05908e+06 	1.05907e+06 	0.003 	0.359537 	0.35844 	0.654894
34 	(mult) 	1.05904e+06 	1.05919e+06 	1.05904e+06 	0.004 	0.35844 	0.357219 	0.656444
35 	(mult) 	1.05902e+06 	1.05929e+06 	1.05902e+06 	0.003 	0.357219 	0.355755 	0.658239
36 	(mult) 	1.05899e+06 	1.05942e+06 	1.05899e+06 	0.003 	0.355755 	0.353998 	0.660302
37 	(mult) 	1.05894e+06 	1.05959e+06 	1.05894e+06 	0.004 	0.353998 	0.353728 	0.659498
38 	(mult) 	1.0597e+06 	1.05892e+06 	1.0597e+06 	0.003 	0.353728 	0.351077 	0.662118
39 	(mult) 	1.05938e+06 	1.05941e+06 	1.05938e+06 	0.004 	0.351077 	0.348769 	0.663929
40 	(mult) 	1.05951e+06 	1.05946e+06 	1.05951e+06 	0.003 	0.348769 	0.346024 	0.666629
