#1:iter	2:freq	3:reflectedWave	4:objective_0	5:objective_1	6:duration	7:slack	8:volume	9:physical_volume	10:plain_greyness	11:physical_greyness
0 	(mult) 	7499.75 	7110.27 	7499.75 	0.079 	50000 	0.5 	0.323985 	0.404748 	0.465042
1 	(mult) 	6171.54 	6546.6 	6171.54 	0.005 	50000 	0.323985 	0.255495 	0.615212 	0.658647
2 	(mult) 	9510.15 	9208.53 	9510.15 	0.005 	50000 	0.255495 	0.295886 	0.713797 	0.750112
3 	(mult) 	2537.73 	3011.24 	2537.73 	0.005 	50000 	0.295886 	0.200921 	0.540112 	0.608486
4 	(mult) 	7651.62 	6929.04 	7651.62 	0.005 	50000 	0.200921 	0.255659 	0.676472 	0.702232
5 	(mult) 	788.881 	1175.91 	788.881 	0.005 	50000 	0.255659 	0.186632 	0.515661 	0.568911
6 	(mult) 	3747.9 	2563.64 	3747.9 	0.006 	50000 	0.186632 	0.229218 	0.623939 	0.658699
7 	(mult) 	299.428 	248.041 	299.428 	0.005 	50000 	0.229218 	0.20267 	0.547126 	0.576643
8 	(mult) 	376.314 	661.882 	376.314 	0.006 	50000 	0.20267 	0.219004 	0.615365 	0.646918
9 	(mult) 	632.082 	145.057 	632.082 	0.006 	50000 	0.219004 	0.221102 	0.597813 	0.625031
10 	(mult) 	61.2227 	491.313 	61.2227 	0.005 	50000 	0.221102 	0.211103 	0.587751 	0.618819
11 	(mult) 	360.26 	13.2221 	360.26 	0.007 	50000 	0.211103 	0.219814 	0.60097 	0.629056
12 	(mult) 	2.72085 	256.289 	2.72085 	0.008 	50000 	0.219814 	0.213606 	0.591873 	0.621851
13 	(mult) 	162.772 	11.7999 	162.772 	0.006 	50000 	0.213606 	0.217952 	0.598476 	0.627046
14 	(mult) 	9.8422 	152.455 	9.8422 	0.007 	50000 	0.217952 	0.21491 	0.593969 	0.623484
15 	(mult) 	95.5046 	36.9611 	95.5046 	0.007 	50000 	0.21491 	0.217039 	0.597181 	0.626014
