#1:iter	2:freq	3:slack	4:objective_0_f_0	5:objective_1_f_1	6:objective_2_f_2	7:duration	8:dynamicOutputTracking_f_0	9:dynamicOutputTracking_f_1	10:dynamicOutputTracking_f_2	11:dynamicOutput_f_0	12:nObj
0 	(mult) 	100 	0 	0 	100 	0.0637835 	0.100287 	0.0206785 	0.0571365 	0.733171 	1
1 	(mult) 	99.0659 	0 	0 	99.0659 	0.00663629 	0.100287 	0.0206785 	0.0571365 	0.733171 	2
2 	(mult) 	99.0659 	0 	0 	99.0659 	0.0117622 	0.100287 	0.0206785 	0.0571365 	0.733171 	4
3 	(mult) 	84.8884 	0 	0 	84.8884 	0.0123026 	0.100287 	0.0206785 	0.0571365 	0.733171 	6
4 	(mult) 	0 	0 	0 	0 	0.00674746 	0.00973653 	0.0137777 	8.73343e-05 	0.49065 	7
5 	(mult) 	0.0147015 	0 	0 	0.0147015 	0.0125068 	0.00298852 	0.0114311 	0.00062262 	0.474266 	9
6 	(mult) 	0.00481706 	0 	0 	0.00481706 	0.0125018 	0.0010248 	0.00325573 	0.000159693 	0.487439 	11
7 	(mult) 	0.00467737 	0 	0 	0.00467737 	0.0183479 	0.00107512 	0.00320247 	0.000144659 	0.488057 	14
8 	(mult) 	0.00404439 	0 	0 	0.00404439 	0.0121854 	0.00127888 	0.00299276 	9.30211e-05 	0.49047 	16
9 	(mult) 	0.00391823 	0 	0 	0.00391823 	0.0180278 	0.00133372 	0.00294299 	8.18049e-05 	0.491075 	19
10 	(mult) 	0.00329921 	0 	0 	0.00329921 	0.0119996 	0.00157399 	0.00272145 	4.17831e-05 	0.493681 	21
11 	(mult) 	0.00284206 	0 	0 	0.00284206 	0.0125516 	0.00167513 	0.00262491 	2.88519e-05 	0.494774 	23
12 	(mult) 	0.00209928 	0 	0 	0.00209928 	0.0121595 	0.00175736 	0.00241778 	1.44862e-05 	0.496315 	25
13 	(mult) 	0.00209404 	0 	0 	0.00209404 	0.0120056 	0.00210423 	0.00210756 	3.85355e-08 	0.499922 	27
14 	(mult) 	0.00208762 	0 	0 	0.00208762 	0.0120441 	0.00208778 	0.00209545 	4.55023e-08 	0.499901 	29
15 	(mult) 	0.00194366 	0 	0 	0.00194366 	0.00606371 	0.00193316 	0.00195678 	2.53754e-08 	0.499858 	30
16 	(mult) 	0.00194486 	0 	0 	0.00194486 	0.0122045 	0.00194486 	0.0019449 	6.18432e-10 	0.499992 	32
17 	(mult) 	0.00190017 	0 	0 	0.00190017 	0.011994 	0.00190018 	0.00190023 	3.19814e-10 	0.500006 	34
18 	(mult) 	0.00189916 	0 	0 	0.00189916 	0.0119895 	0.00189916 	0.00189916 	3.32626e-10 	0.500006 	36
19 	(mult) 	0.00186714 	0 	0 	0.00186714 	0.00620387 	0.00185319 	0.00188001 	1.79705e-08 	0.499852 	37
20 	(mult) 	0.00186707 	0 	0 	0.00186707 	0.0121664 	0.00186704 	0.00186712 	4.4396e-10 	0.500007 	39
21 	(mult) 	0.00185802 	0 	0 	0.00185802 	0.0128969 	0.00185802 	0.00185803 	4.20178e-10 	0.500007 	41
22 	(mult) 	0.00185725 	0 	0 	0.00185725 	0.00543467 	0.00185716 	0.00185734 	3.69277e-10 	0.500006 	42
