#1:iter	2:freq	3:reflectedWave	4:objective_0	5:objective_1	6:objective_2	7:objective_3	8:duration	9:max_abs_curvature_(profile)	10:infeas_count_curvature_(profile)	11:nObj
0 	(mult) 	35829.7 	20981.9 	12857.2 	4003.88 	35829.7 	0.14 	0.00333333 	6 	3
1 	(mult) 	25742.6 	10916.4 	1377.71 	5751.15 	25742.6 	0.021 	0.0028443 	0 	5
2 	(mult) 	20079.9 	7359.21 	3742.85 	10633 	20079.9 	0.023 	0.00244834 	0 	7
3 	(mult) 	18406.2 	7569.34 	4378.58 	10233.2 	18406.2 	0.021 	0.00236743 	0 	9
4 	(mult) 	16064.9 	9771.39 	3183.97 	5798.65 	16064.9 	0.012 	0.00333333 	4 	10
5 	(mult) 	16653.6 	9208.97 	1730.21 	4245.19 	16653.6 	0.011 	0.00333333 	4 	11
6 	(mult) 	18572.2 	7387.74 	582.569 	3961.19 	18572.2 	0.03 	0.00333333 	4 	13
7 	(mult) 	17269.7 	7083.48 	1136.36 	4619.92 	17269.7 	0.011 	0.00333333 	5 	14
8 	(mult) 	17488.4 	7328.27 	968.316 	4241.86 	17488.4 	0.014 	0.00333333 	5 	15
9 	(mult) 	17591.3 	7274.11 	917.996 	4241.81 	17591.3 	0.014 	0.00333333 	5 	16
10 	(mult) 	17570.9 	7285.09 	928.874 	4240.23 	17570.9 	0.014 	0.00333333 	5 	17
11 	(mult) 	17570.9 	7285.09 	928.874 	4240.23 	17570.9 	0.003 	0.00333333 	5 	17
