#1:iter	2:freq	3:slack	4:objective_0	5:objective_1	6:duration	7:dynamicOutputTracking	8:dynamicOutputTracking	9:max_abs_curvature_(node)	10:infeas_count_curvature_(node)	11:max_abs_curvature_(profile)	12:infeas_count_curvature_(profile)	13:physical_volume	14:nObj
0 	(mult) 	0.5 	0 	0.5 	0.132236 	0.119561 	0.119561 	0 	0 	0 	0 	0.700603 	1
1 	(mult) 	0.232715 	0 	0.232715 	0.0201241 	0.0103475 	0.0103475 	0.000187493 	0 	0.000309506 	0 	0.833856 	2
2 	(mult) 	0.00232714 	0 	0.00232714 	0.0200761 	0.111971 	0.111971 	0.000726523 	0 	0.000351861 	0 	0.981234 	3
3 	(mult) 	0.00102133 	0 	0.00102133 	0.0198879 	0.0251272 	0.0251272 	0.000447211 	0 	0.000275748 	0 	0.940138 	4
4 	(mult) 	0.00036142 	0 	0.00036142 	0.0173155 	0.0123225 	0.0123225 	0.000838186 	0 	0.000463072 	0 	0.908359 	5
5 	(mult) 	0.00044442 	0 	0.00044442 	0.0198557 	0.0120776 	0.0120776 	0.000862022 	0 	0.000506107 	0 	0.903758 	6
6 	(mult) 	0.0121507 	0 	0.0121507 	0.0210282 	0.0120408 	0.0120408 	0.000553968 	0 	0.000232403 	0 	0.9007 	7
7 	(mult) 	0.0120179 	0 	0.0120179 	0.020088 	0.0119495 	0.0119495 	0.000598391 	0 	0.000851777 	0 	0.902328 	8
8 	(mult) 	0.0118933 	0 	0.0118933 	0.0174197 	0.0118938 	0.0118938 	0.0014743 	0 	0.00142583 	0 	0.901294 	9
9 	(mult) 	0.0118562 	0 	0.0118562 	0.0173526 	0.0118614 	0.0118614 	0.00181821 	0 	0.00181024 	0 	0.900281 	10
10 	(mult) 	0.0118045 	0 	0.0118045 	0.0178186 	0.0118353 	0.0118353 	0.00193227 	0 	0.00193101 	0 	0.902316 	11
11 	(mult) 	0.0118305 	0 	0.0118305 	0.018362 	0.0118306 	0.0118306 	0.00199403 	0 	0.00199372 	0 	0.902056 	12
12 	(mult) 	0.0118285 	0 	0.0118285 	0.0175905 	0.0118286 	0.0118286 	0.00199778 	0 	0.00199858 	0 	0.901995 	13
13 	(mult) 	0.0118262 	0 	0.0118262 	0.0177641 	0.0118265 	0.0118265 	0.00199758 	0 	0.00199795 	0 	0.901819 	14
