#1:iter	2:slack	3:duration	4:alpha	5:bandgap	6:ev_2_max	7:ev_3_max	8:ev_4_min	9:ev_5_min	10:volume
0 	0.000000 	0.280000 	1200.000000 	3424.276676 	2647.984915 	3473.376136 	6897.652812 	6897.652812 	0.501080
1 	4.719236 	0.092000 	1200.000860 	4803.435488 	1856.345162 	2358.998613 	7162.434101 	7370.507928 	0.500575
2 	11.134524 	0.094000 	1200.001375 	5619.867572 	1385.833465 	1643.607792 	7263.475363 	7436.202698 	0.500208
3 	1264.812812 	0.090000 	2483.085579 	5775.078320 	1298.147661 	1500.177609 	7275.255929 	7417.618593 	0.500123
4 	3484.549704 	0.078000 	5452.995261 	863.199038 	1375.563374 	2294.537631 	3157.736668 	4196.372190 	0.500000
5 	2163.478191 	0.077000 	3685.460068 	5139.115616 	1397.078380 	1917.536787 	7056.652403 	7486.052435 	0.500073
6 	3850.970014 	0.079000 	6082.634598 	2767.962024 	1571.805807 	2269.622112 	5037.584136 	6384.917055 	0.500000
7 	3482.884482 	0.080000 	4962.520575 	2872.130451 	2110.285249 	2839.493009 	5711.623460 	6065.270880 	0.500000
8 	3741.646627 	0.082000 	5749.954698 	4236.944769 	1562.165345 	1987.720044 	6224.664813 	6932.973411 	0.500000
9 	4053.406525 	0.080000 	5259.719486 	1497.640161 	1371.231374 	2416.026985 	3913.667146 	5561.540280 	0.500000
10 	3816.911318 	0.086000 	5631.602716 	4887.897716 	1531.528511 	1900.508950 	6788.406666 	7468.514780 	0.500000
11 	3537.912291 	0.071000 	5695.683470 	1312.732570 	1577.991541 	2010.309683 	3323.042252 	4656.882106 	0.500000
12 	3782.785690 	0.087000 	5639.440721 	5118.598586 	1549.600672 	1926.636951 	7045.235537 	7674.313255 	0.500000
13 	3382.150784 	0.082000 	4749.361186 	4969.397885 	1153.148061 	1465.047340 	6434.445225 	6885.422828 	0.500000
14 	3634.577699 	0.090000 	5310.171110 	5575.721326 	1410.913022 	1710.963859 	7286.685185 	7534.410848 	0.500000
15 	3354.676099 	0.090000 	4434.611512 	5948.639907 	1166.201028 	1364.333226 	7312.973133 	7452.518283 	0.500000
16 	3521.041618 	0.081000 	5209.575148 	1100.874559 	1448.377950 	1700.563060 	2801.437619 	5052.721717 	0.500000
17 	3361.482046 	0.094000 	4466.314967 	5994.256805 	1183.001000 	1381.211102 	7375.467906 	7511.146165 	0.500000
18 	3628.369463 	0.077000 	5200.893544 	656.908828 	1527.173545 	2122.559703 	2779.468531 	4700.839719 	0.500000
19 	3370.897484 	0.093000 	4492.229935 	6033.903335 	1176.368013 	1391.805253 	7425.708588 	7556.183162 	0.500000
20 	3754.126433 	0.081000 	5606.214799 	123.382819 	1889.795080 	3128.651637 	3252.034456 	4294.639802 	0.500000
21 	3385.715877 	0.103000 	4535.304619 	6084.670990 	1185.724894 	1416.635075 	7501.306065 	7609.930051 	0.500000
22 	3130.967104 	0.098000 	4625.473093 	5972.024382 	1222.956095 	1543.310143 	7515.334525 	7737.506170 	0.500000
23 	3293.697497 	0.101000 	4567.874578 	6143.459728 	1189.210491 	1451.164994 	7594.624721 	7628.997332 	0.500000
24 	3158.413637 	0.086000 	4805.792804 	5528.838197 	1312.148530 	1768.191727 	7297.029924 	7889.966583 	0.500000
25 	3284.082010 	0.103000 	4584.784944 	6153.260170 	1193.186283 	1465.829156 	7619.089326 	7648.277911 	0.500000
26 	3112.259934 	0.100000 	4618.105392 	6138.413498 	1192.865275 	1515.753320 	7654.166819 	7724.911183 	0.500000
27 	3203.654178 	0.104000 	4600.381842 	6177.626814 	1192.160074 	1486.762981 	7664.389795 	7678.762974 	0.500000
28 	3115.513510 	0.096000 	4644.561316 	6040.328200 	1212.341880 	1536.173720 	7576.501920 	7748.824531 	0.500000
29 	3196.100139 	0.102000 	4604.168215 	6180.880816 	1193.505781 	1490.441144 	7671.321960 	7685.317953 	0.500000
30 	3109.851231 	0.095000 	4605.617094 	6159.299534 	1196.129474 	1497.968328 	7657.267863 	7707.059325 	0.500000
31 	3182.100938 	0.108000 	4604.403385 	6185.765342 	1193.663720 	1491.354632 	7677.119974 	7689.720258 	0.500000
32 	3109.855713 	0.140000 	4595.094165 	6171.015221 	1196.274392 	1488.726434 	7659.741654 	7694.608791 	0.500000
33 	3161.044596 	0.110000 	4601.690152 	6191.314085 	1193.949760 	1489.824767 	7681.138852 	7690.133525 	0.500000
34 	3109.051836 	0.107000 	4600.101135 	6179.937255 	1196.300252 	1492.666043 	7672.603297 	7703.344865 	0.500000
35 	3143.348836 	0.100000 	4601.149330 	6199.641248 	1194.613173 	1490.426211 	7690.067459 	7691.566834 	0.500000
