#1:iter	2:bandgap	3:max_ef_3_wv	4:min_ef_4_wv	5:objective_0	6:objective_1	7:objective_2	8:objective_3	9:objective_4	10:objective_5	11:duration	12:eigenfrequency_3_wv_0	13:eigenfrequency_4_wv_0	14:eigenfrequency_3_wv_1	15:eigenfrequency_4_wv_1	16:eigenfrequency_3_wv_2	17:eigenfrequency_4_wv_2	18:eigenfrequency_3_wv_3	19:eigenfrequency_4_wv_3	20:eigenfrequency_3_wv_4	21:eigenfrequency_4_wv_4	22:eigenfrequency_3_wv_5	23:eigenfrequency_4_wv_5	24:nObj
0 	650.516 	0 	4 	0 	0 	0 	0 	0 	650.516 	0.0983486 	4945.42 	5624.27 	4169.01 	5782.92 	3407.91 	6078.06 	3901.16 	5912.62 	3831.78 	5595.93 	3775.65 	5691.06 	1
1 	5202.78 	4 	0 	0 	0 	0 	0 	0 	5202.78 	0.0445951 	0.577042 	5885.76 	209.543 	5889.45 	491.272 	5906.98 	530.057 	5910.75 	682.98 	5928.43 	293.674 	5893.17 	2
2 	6080.89 	4 	0 	0 	0 	0 	0 	0 	6080.89 	0.0428332 	0.67473 	6812.01 	228.781 	6816.6 	525.436 	6835.4 	569.084 	6839.9 	731.127 	6858.5 	321.066 	6821.17 	3
3 	7002.58 	4 	0 	0 	0 	0 	0 	0 	7002.58 	0.043061 	0.729954 	7820.72 	263.081 	7837.24 	587.029 	7881.49 	639.356 	7899.72 	818.143 	7950.99 	369.833 	7854.03 	4
4 	7008.14 	4 	0 	0 	0 	0 	0 	0 	7008.14 	0.16935 	336.095 	7831.29 	397.352 	7845.16 	633.519 	7885.88 	665.908 	7902.96 	823.149 	7952.92 	449.447 	7859.57 	8
5 	7022.94 	4 	0 	0 	0 	0 	0 	0 	7022.94 	0.0900397 	687.807 	7863.09 	663.739 	7868.45 	764.921 	7897.12 	744.835 	7911.03 	840.151 	7957.43 	635.606 	7875.02 	10
6 	7029.01 	4 	1 	0 	0 	0 	0 	0 	7029.01 	0.260578 	834.513 	7883.05 	784.462 	7882.23 	836.611 	7901.45 	794.694 	7915.99 	853.216 	7959.46 	727.986 	7884.67 	16
7 	7030.94 	4 	1 	0 	0 	0 	0 	0 	7030.94 	0.257804 	854.907 	7887.37 	804.688 	7886.11 	854.455 	7903.7 	806.247 	7918.77 	855.164 	7960.98 	740.901 	7887.38 	22
8 	7031.07 	4 	1 	0 	0 	0 	0 	0 	7031.07 	0.430242 	855.173 	7887.51 	804.965 	7886.24 	854.718 	7903.81 	806.4 	7918.89 	855.175 	7961.09 	741.05 	7887.5 	32
9 	7060.32 	2 	0 	0 	0 	0 	0 	0 	7060.32 	0.0445183 	750.325 	8012.17 	796.365 	8016.58 	951.846 	8022.19 	851.611 	8061.33 	845.919 	8098.79 	695.002 	8018.97 	33
10 	7170.3 	2 	0 	0 	0 	0 	0 	0 	7170.3 	0.206455 	748.03 	8113.65 	789.532 	8126.14 	943.347 	8133.24 	849.268 	8168.87 	853.234 	8204.8 	691.206 	8122.05 	37
