#1:iter	2:slack	3:duration	4:eigenfrequency_1	5:eigenfrequency_2	6:volume_(mech_trace)	7:max_abs_tensorTrace_(mech_trace)	8:infeas_count_tensorTrace_(mech_trace)	9:volume_(mass)	10:nObj
0 	3500 	0.0552918 	963.922 	990.212 	0.5 	0.53 	0 	1 	1
1 	3499 	0.00212487 	964.758 	991.03 	0.5 	0.530341 	0 	1 	2
2 	3498 	0.00167088 	965.588 	991.841 	0.5 	0.53068 	0 	1 	3
3 	1738.45 	0.00159042 	1250.41 	1269.27 	0.5 	1 	19 	1 	4
4 	1820.41 	0.00338617 	1367.04 	1379.47 	0.5 	1 	15 	1 	6
5 	1842.48 	0.00405542 	1385.19 	1415.46 	0.5 	1 	2 	1 	9
6 	1902.32 	0.00427904 	1458.03 	1493.07 	0.5 	1 	2 	1 	12
7 	1937.11 	0.00455429 	1513.43 	1550.92 	0.5 	0.918306 	0 	1 	15
8 	1959.02 	0.00443721 	1557.96 	1577.85 	0.5 	0.92552 	0 	1 	18
9 	1946.12 	0.00336696 	1575.24 	1582.12 	0.5 	0.931406 	0 	1 	20
10 	1921.89 	0.00378933 	1569.52 	1592.92 	0.5 	0.953778 	0 	1 	22
11 	1928.36 	0.00358421 	1581.9 	1625.14 	0.5 	0.914321 	0 	1 	24
12 	1899.21 	0.00283075 	1590.36 	1621.59 	0.5 	0.94564 	0 	1 	26
13 	1899.11 	0.00344142 	1616.83 	1636.51 	0.5 	0.961245 	0 	1 	28
14 	1730.06 	0.00176683 	1587.17 	1625.22 	0.5 	1 	2 	1 	29
15 	1695.21 	0.00190912 	1632.97 	1652.84 	0.5 	0.968022 	0 	1 	30
16 	1703.08 	0.003159 	1644.59 	1670.14 	0.5 	0.931109 	0 	1 	32
17 	1682.63 	0.00198171 	1638.62 	1650.92 	0.5 	0.999242 	0 	1 	33
18 	1689.86 	0.00323617 	1643.92 	1670.09 	0.5 	0.996707 	0 	1 	35
19 	1697.3 	0.00329225 	1652.76 	1678.06 	0.5 	0.994798 	0 	1 	37
20 	1675.75 	0.00210754 	1656.26 	1671.12 	0.5 	1 	1 	1 	38
