#1:iter	2:compliance	3:duration	4:volume_(mech_trace)	5:max_abs_tensorTrace_(mech_trace)	6:infeas_count_tensorTrace_(mech_trace)	7:nObj
0 	195.824 	0.0606218 	0.5 	0.53 	0 	1
1 	105.865 	0.00490575 	0.5 	1 	2 	2
2 	88.8595 	0.00565612 	0.5 	1 	63 	3
3 	69.6184 	0.00773342 	0.5 	1 	34 	4
4 	62.918 	0.00498483 	0.5 	1 	15 	5
5 	60.9713 	0.00256112 	0.5 	1 	11 	6
6 	59.9564 	0.00247808 	0.5 	1 	14 	7
7 	59.3288 	0.00227029 	0.5 	1 	16 	8
8 	58.871 	0.00253279 	0.5 	1 	19 	9
9 	58.4917 	0.00205204 	0.5 	1 	25 	10
10 	58.3472 	0.00250012 	0.5 	1 	25 	11
