#1:iter	2:compliance	3:duration	4:volume_(plainAlphaDensity)	5:min_abs_distance_(node)	6:infeas_count_distance_(node)	7:gc_search
0 	196.774 	0.12589 	0.223754 	0.806226 	0 	0
1 	61.0313 	0.00443604 	0.331926 	0.817747 	0 	6
2 	28.3342 	0.00184246 	0.453861 	0.825629 	0 	2
3 	20.763 	0.00236425 	0.484991 	0.827913 	0 	3
4 	16.6311 	0.000966 	0.477325 	0.801481 	0 	1
5 	13.9172 	0.00224313 	0.495138 	0.796519 	0 	3
6 	13.7095 	0.00302963 	0.499007 	0.791679 	0 	4
7 	13.5685 	0.00160096 	0.49895 	0.77487 	0 	2
8 	13.4903 	0.002405 	0.499135 	0.759733 	0 	3
9 	13.3902 	0.00160208 	0.499167 	0.742375 	0 	2
10 	13.1977 	0.00473238 	0.499695 	0.689251 	0 	7
11 	13.059 	0.00224075 	0.499061 	0.639738 	0 	3
12 	12.9633 	0.00283354 	0.500277 	0.557258 	0 	4
13 	12.9612 	0.00204742 	0.499913 	0.510056 	0 	3
14 	12.9574 	0.00278158 	0.499918 	0.461279 	0 	4
15 	12.9482 	0.000915459 	0.500224 	0.440388 	0 	1
16 	12.9587 	0.000909 	0.499718 	0.40677 	0 	1
17 	12.9584 	0.00406242 	0.499675 	0.40677 	0 	6
18 	12.958 	0.00347237 	0.499665 	0.40677 	0 	5
19 	12.9594 	0.00155746 	0.499566 	0.40677 	0 	2
