#1:iter	2:compliance	3:duration	4:volume	5:nObj
0 	137.578 	0.0590808 	0.217165 	1
1 	8.63073 	0.00233896 	0.270769 	3
2 	7.26552 	0.00302862 	0.280753 	6
3 	10.2573 	0.00645221 	0.294877 	13
4 	7.03821 	0.00207629 	0.280119 	15
5 	6.9411 	0.00389958 	0.28349 	19
6 	6.93766 	0.00382258 	0.285644 	23
7 	6.86126 	0.00383458 	0.289068 	27
8 	6.79005 	0.00297138 	0.293663 	30
9 	6.74453 	0.00304992 	0.296603 	33
10 	6.72303 	0.00301383 	0.298479 	36
11 	6.70804 	0.00129267 	0.299918 	37
12 	6.70646 	0.00133079 	0.299993 	38
13 	6.70571 	0.00128958 	0.300015 	39
