#1:iter	2:compliance	3:duration	4:volume
0 	75.8842 	0.117 	0.33687
1 	75.8842 	0.002 	0.33687
2 	41.2534 	0.005 	0.424276
3 	32.4884 	0.005 	0.468516
4 	28.9902 	0.005 	0.484707
5 	25.3328 	0.004 	0.491621
6 	23.315 	0.005 	0.492167
7 	21.7387 	0.005 	0.490974
8 	21.3197 	0.005 	0.491413
9 	21.1064 	0.004 	0.49312
10 	21.1421 	0.005 	0.491636
11 	20.6346 	0.004 	0.494832
12 	20.4081 	0.005 	0.498755
13 	20.3602 	0.005 	0.498648
14 	20.3137 	0.005 	0.499436
15 	20.2966 	0.005 	0.499876
16 	20.2932 	0.006 	0.499981
