#1:iter	2:compliance	3:duration	4:volume	5:gc_search
0 	37.0138 	0.0526742 	0.323074 	0
1 	43.0913 	0.00160313 	0.299859 	4
2 	37.3057 	0.00145867 	0.299319 	4
3 	33.174 	0.00196404 	0.293972 	7
4 	25.5628 	0.00092825 	0.294759 	2
5 	24.3077 	0.00173821 	0.298485 	6
6 	23.3579 	0.00131825 	0.297076 	4
7 	21.6654 	0.000994417 	0.297955 	2
8 	21.2895 	0.00120979 	0.299298 	3
9 	21.1244 	0.000923708 	0.299762 	2
10 	21.0574 	0.00114383 	0.299852 	3
11 	20.996 	0.00093 	0.299883 	2
12 	20.9614 	0.00120783 	0.299916 	3
13 	20.9491 	0.00115637 	0.299962 	3
14 	20.9432 	0.00116929 	0.299975 	3
