#1:iter	2:track	3:duration	4:alpha_sum
0 	3.27759 	0.295336 	1.3
1 	1.67488 	0.00240954 	1.26738
2 	1.04955 	0.00209925 	1.01595
3 	1.04152 	0.00212292 	1.00539
4 	0.868463 	0.00203504 	0.984466
5 	0.834864 	0.00200737 	0.984013
6 	0.834864 	0.00137096 	0.984013
7 	0.671554 	0.00212363 	0.996544
8 	0.637224 	0.00223492 	0.999793
9 	0.637224 	0.00145483 	0.999793
10 	0.596096 	0.00220067 	1.00429
11 	0.59397 	0.00213242 	1.00428
12 	0.59397 	0.00143279 	1.00428
13 	0.58861 	0.00215279 	1.00471
14 	0.58807 	0.00212146 	1.00469
15 	0.58807 	0.00213854 	1.00468
16 	0.58807 	0.000915125 	1.00468
