#1:iter	2:compliance	3:duration	4:volume
0 	117.154 	0.084 	0.269298
1 	117.154 	0.002 	0.269298
2 	28.4315 	0.003 	0.389669
3 	1150.15 	0.002 	0.332471
4 	42.0828 	0.002 	0.311269
5 	48.2908 	0.003 	0.260443
6 	28.6969 	0.003 	0.281524
7 	23.9019 	0.002 	0.284602
8 	36.2086 	0.003 	0.266944
9 	37.9449 	0.003 	0.275967
10 	26.9141 	0.003 	0.28195
11 	25.4404 	0.002 	0.289048
12 	22.7817 	0.007 	0.293519
13 	22.9396 	0.003 	0.292369
14 	22.4092 	0.003 	0.290774
15 	23.7096 	0.003 	0.290706
16 	23.1154 	0.003 	0.288776
17 	21.8708 	0.003 	0.297893
18 	21.5518 	0.002 	0.299459
19 	21.379 	0.003 	0.299523
20 	21.2365 	0.003 	0.299543
21 	21.1166 	0.003 	0.299579
22 	21.0341 	0.003 	0.299667
23 	20.9926 	0.003 	0.299786
24 	20.9758 	0.003 	0.299936
25 	20.9715 	0.003 	0.299999
