#1:iter	2:compliance	3:duration	4:volume
0 	684.637 	0.118 	0.4916
1 	684.637 	0.001 	0.4916
2 	917.279 	0.001 	0.330635
3 	60.365 	0.002 	0.238499
4 	59.7268 	0.002 	0.257198
5 	65.9471 	0.001 	0.277468
6 	24.2731 	0.002 	0.343884
7 	72.9211 	0.002 	0.236441
8 	24.7401 	0.002 	0.306253
9 	23.3127 	0.002 	0.292694
10 	21.7489 	0.001 	0.29678
11 	21.2169 	0.002 	0.295477
12 	21.1899 	0.002 	0.295411
13 	24.3853 	0.002 	0.283967
14 	36.9457 	0.002 	0.259459
15 	25.4924 	0.002 	0.266446
16 	22.8297 	0.002 	0.28841
17 	21.3355 	0.002 	0.299134
18 	21.0799 	0.002 	0.298342
19 	21.0479 	0.002 	0.2975
20 	20.9583 	0.002 	0.299298
21 	20.8158 	0.002 	0.299225
22 	20.7356 	0.002 	0.299743
23 	20.708 	0.002 	0.29971
24 	20.6968 	0.002 	0.299635
25 	19.4638 	0.002 	0.325237
26 	20.3726 	0.002 	0.307831
27 	20.8138 	0.002 	0.299652
28 	20.7109 	0.003 	0.300084
29 	20.6639 	0.002 	0.300027
30 	20.6174 	0.003 	0.300094
31 	20.5791 	0.002 	0.30025
32 	20.5496 	0.002 	0.300519
33 	20.5785 	0.002 	0.299978
34 	20.5797 	0.003 	0.299865
35 	20.5726 	0.002 	0.299899
