#1:iter	2:compliance_py	3:duration	4:volume	5:compliance
0 	30.5383 	0.275639 	0.371658 	30.5383
1 	29.77 	0.00632212 	0.375697 	29.77
2 	26.6237 	0.00411496 	0.401337 	26.6237
3 	22.7061 	0.00424463 	0.496682 	22.7061
4 	22.7061 	0.00390838 	0.420262 	22.7061
5 	29.0817 	0.00439996 	0.367141 	29.0817
6 	29.0817 	0.00310342 	0.349836 	29.0817
7 	30.0456 	0.00416471 	0.347737 	30.0456
8 	29.4564 	0.00410717 	0.347916 	29.4564
9 	29.4564 	0.00311887 	0.351388 	29.4564
10 	29.2854 	0.00412433 	0.347888 	29.2854
11 	29.1815 	0.00409133 	0.347953 	29.1815
12 	29.1815 	0.00207037 	0.347953 	29.1815
13 	29.0373 	0.00425658 	0.349656 	29.0373
14 	29.0373 	0.00210233 	0.349656 	29.0373
15 	29.0146 	0.0043485 	0.349939 	29.0146
16 	29.0145 	0.00412733 	0.34994 	29.0145
17 	29.0145 	0.00149975 	0.34994 	29.0145
