#1:iter	2:reward	3:duration	4:min_abs_distance_(node)_lowerBound	5:infeas_count_distance_(node)_lowerBound	6:max_abs_distance_(node)_upperBound	7:infeas_count_distance_(node)_upperBound
0 	-18.6323 	0.405658 	0.608276 	0 	0.632456 	2
1 	-20.8461 	0.00201996 	0.598259 	0 	0.626335 	2
2 	-28.0881 	0.00169133 	0.507288 	0 	0.658348 	2
3 	-28.0881 	0.000589416 	0.507288 	0 	0.658348 	2
4 	-30.4554 	0.00145771 	0.434384 	0 	0.513622 	1
5 	-30.4554 	0.00112288 	0.370306 	0 	0.553369 	1
6 	-31.1523 	0.001616 	0.389632 	0 	0.481207 	0
7 	-31.5776 	0.00145263 	0.438844 	0 	0.495499 	0
8 	-31.5776 	0.00104254 	0.410621 	0 	0.720132 	1
9 	-31.5776 	0.00109596 	0.390658 	0 	0.524489 	1
10 	-32.8114 	0.00154025 	0.389129 	0 	0.498221 	0
11 	-33.0503 	0.00156658 	0.450229 	0 	0.491709 	0
12 	-33.0503 	0.00117379 	0.442554 	0 	0.508274 	1
13 	-33.4662 	0.00164308 	0.409104 	0 	0.49479 	0
14 	-33.9349 	0.00195875 	0.460496 	0 	0.494271 	0
15 	-33.9649 	0.00191183 	0.473904 	0 	0.484329 	0
16 	-33.9644 	0.00163579 	0.485698 	0 	0.486292 	0
17 	-33.998 	0.00159129 	0.485596 	0 	0.486256 	0
18 	-34.0056 	0.00169117 	0.48557 	0 	0.486224 	0
19 	-34.0056 	0.00083 	0.48557 	0 	0.486224 	0
