#1:iter	2:track	3:duration	4:min_abs_distance_(node)_lowerBound	5:infeas_count_distance_(node)_lowerBound	6:max_abs_distance_(node)_upperBound	7:infeas_count_distance_(node)_upperBound	8:gc_search
0 	26.5081 	0.196646 	0.52 	0 	0.52 	0 	0
1 	16.6808 	0.000682333 	0.539284 	0 	0.539284 	0 	1
2 	8.54143 	0.00123921 	0.62508 	0 	0.62508 	0 	5
3 	6.60992 	0.000922084 	0.654881 	0 	0.654881 	0 	3
4 	5.10992 	0.0007335 	0.696871 	0 	0.696871 	0 	2
5 	4.77726 	0.000769416 	0.699572 	0 	0.699572 	0 	2
6 	4.53453 	0.000709667 	0.699327 	0 	0.699327 	0 	2
7 	4.14982 	0.000707125 	0.698288 	0 	0.698288 	0 	2
8 	3.41373 	0.000729875 	0.695152 	0 	0.695152 	0 	2
9 	2.21902 	0.000761042 	0.690219 	0 	0.690219 	0 	2
10 	1.5468 	0.00103229 	0.698184 	0 	0.698184 	0 	3
11 	1.38251 	0.00102354 	0.699525 	0 	0.699525 	0 	3
12 	1.32704 	0.000748083 	0.699763 	0 	0.699763 	0 	2
13 	1.31908 	0.00107142 	0.69993 	0 	0.69993 	0 	3
14 	1.31849 	0.000801542 	0.699968 	0 	0.699968 	0 	2
15 	1.3183 	0.00100288 	0.699984 	0 	0.699984 	0 	3
16 	1.3185 	0.000993208 	0.699963 	0 	0.699963 	0 	3
