#1:iter	2:compliance	3:duration	4:volume
0 	617.649 	0.073 	0.163143
1 	617.649 	0.002 	0.163143
2 	317.267 	0.001 	0.304513
3 	3.62399 	0.002 	0.284234
4 	128.592 	0.001 	0.329014
5 	8.52467 	0.002 	0.295717
6 	4.91964 	0.001 	0.291145
7 	3.87796 	0.002 	0.289955
8 	6.26515 	0.001 	0.288346
9 	3.70291 	0.002 	0.299203
10 	3.91118 	0.002 	0.297795
11 	3.64716 	0.001 	0.299096
12 	3.61266 	0.002 	0.298044
13 	3.56966 	0.002 	0.299668
14 	3.49222 	0.001 	0.298774
15 	3.78512 	0.002 	0.287548
16 	3.56235 	0.002 	0.290922
17 	3.46462 	0.001 	0.298888
18 	3.43643 	0.002 	0.299705
19 	3.4373 	0.002 	0.299888
20 	3.43257 	0.002 	0.299886
21 	3.43308 	0.002 	0.299912
22 	3.43126 	0.002 	0.299975
23 	3.43128 	0.001 	0.299996
24 	3.43097 	0.002 	0.299998
25 	3.43102 	0.002 	0.299999
26 	3.43095 	0.002 	0.3
27 	3.43097 	0.002 	0.3
28 	3.43095 	0.001 	0.3
29 	3.43095 	0.002 	0.3
30 	3.43095 	0.002 	0.3
