#1:iter	2:compliance	3:duration	4:volume	5:nObj
0 	56.3762 	0.0539903 	0.288934 	1
1 	52.592 	0.000723917 	0.217534 	2
2 	51.1598 	0.000793625 	0.21806 	4
3 	32.7531 	0.000552875 	0.296275 	5
4 	27.9827 	0.000534083 	0.300333 	6
5 	25.9121 	0.000501625 	0.301273 	7
6 	24.0124 	0.000519208 	0.300395 	8
7 	23.0839 	0.000526375 	0.299917 	9
8 	21.44 	0.000559792 	0.300043 	10
9 	21.3697 	0.000535625 	0.299949 	11
10 	21.26 	0.000536708 	0.299456 	12
11 	21.1448 	0.000539792 	0.299795 	13
12 	21.0871 	0.000581792 	0.299726 	14
13 	21.0677 	0.00061525 	0.299998 	15
