#1:iter	2:homTensorE11	3:duration	4:homTensor_p11_m22	5:homTensor_p13	6:homTensor_p23	7:volume	8:physical_volume	9:greyness	10:physical_greyness
0 	0.011825 	0.249 	-3.98986e-17 	-1.70005e-17 	1.09611e-16 	0.50096 	0.160406 	0.598939 	0.375356
1 	0.042328 	0.013 	0.0217358 	-2.08552e-17 	-2.74725e-16 	0.39574 	0.0496081 	0.66429 	0.175287
2 	0.0622187 	0.012 	-0.0228552 	-7.49062e-16 	-1.21043e-16 	0.447504 	0.106721 	0.567126 	0.316723
3 	0.132523 	0.012 	0.0131115 	3.73688e-16 	-1.98809e-16 	0.478909 	0.181943 	0.440439 	0.418371
4 	0.174497 	0.012 	-0.00648416 	-2.86967e-16 	2.11345e-16 	0.485827 	0.258967 	0.287142 	0.390728
5 	0.214501 	0.008 	0.00381651 	1.7838e-16 	-2.77123e-16 	0.494666 	0.315258 	0.213916 	0.298547
6 	0.217722 	0.007 	-0.00145656 	-9.1637e-17 	2.93712e-16 	0.497886 	0.328085 	0.196156 	0.293359
7 	0.225003 	0.041 	-0.000340672 	3.97247e-17 	-2.66201e-16 	0.498246 	0.346458 	0.164958 	0.258011
8 	0.230544 	0.007 	2.51186e-05 	-7.00486e-18 	4.72692e-17 	0.498329 	0.359316 	0.141001 	0.233535
9 	0.235644 	0.012 	-6.75671e-05 	-1.18522e-16 	2.89495e-16 	0.497879 	0.371193 	0.113695 	0.21906
10 	0.239206 	0.014 	-7.90751e-05 	2.0128e-16 	-2.13406e-16 	0.499455 	0.379297 	0.100383 	0.208649
11 	0.240297 	0.013 	6.87502e-05 	-1.70476e-16 	-1.34522e-16 	0.499687 	0.381202 	0.0936947 	0.209635
12 	0.241269 	0.013 	2.73532e-05 	1.64961e-16 	7.33618e-17 	0.499695 	0.383306 	0.0847118 	0.210684
13 	0.241595 	0.013 	3.67449e-06 	-6.95408e-17 	-4.69133e-17 	0.499935 	0.384099 	0.0842148 	0.210626
14 	0.241777 	0.013 	3.90552e-06 	4.77178e-17 	7.97953e-17 	0.499957 	0.384619 	0.083522 	0.210641
15 	0.241977 	0.013 	6.35938e-06 	-2.90077e-18 	-3.26488e-17 	0.499949 	0.385233 	0.0825349 	0.210675
16 	0.242218 	0.013 	1.00285e-05 	3.12963e-17 	9.67277e-17 	0.499938 	0.386 	0.081211 	0.21072
17 	0.242514 	0.014 	1.55316e-05 	-2.20361e-16 	-1.65238e-16 	0.499923 	0.386968 	0.0794189 	0.210761
18 	0.242883 	0.014 	2.34102e-05 	2.46927e-16 	3.09653e-16 	0.499904 	0.388208 	0.0769596 	0.210762
19 	0.243347 	0.025 	3.37439e-05 	-2.90648e-17 	-1.47802e-16 	0.499876 	0.389819 	0.0735296 	0.210634
20 	0.243939 	0.014 	4.4922e-05 	2.00548e-16 	1.77592e-16 	0.499837 	0.391949 	0.0686483 	0.210179
21 	0.244694 	0.013 	5.1141e-05 	-4.07632e-16 	-2.4643e-16 	0.499783 	0.394813 	0.0615489 	0.20895
22 	0.245641 	0.014 	3.93356e-05 	1.97065e-16 	9.50909e-17 	0.499711 	0.398726 	0.0510353 	0.205943
23 	0.246001 	0.014 	-1.65598e-06 	-1.10923e-16 	4.98229e-17 	0.499985 	0.400005 	0.0485845 	0.204605
24 	0.246008 	0.014 	3.18519e-10 	-6.58474e-17 	-1.53844e-16 	0.5 	0.400013 	0.0486239 	0.204598
25 	0.246008 	0.015 	5.19029e-15 	-1.90684e-17 	1.46688e-16 	0.5 	0.400013 	0.0486236 	0.204597
26 	0.246008 	0.013 	-4.66488e-13 	4.57372e-16 	5.94783e-17 	0.5 	0.400013 	0.0486236 	0.204597
