#1:iter	2:slack	3:duration	4:youngsModulus_f_0	5:youngsModulus_f_1	6:youngsModulus_f_2	7:homTensor_p11_m22_f_0	8:homTensor_p13_f_0	9:homTensor_p23_f_0	10:homTensor_p11_m22_f_1	11:homTensor_p13_f_1	12:homTensor_p23_f_1	13:homTensor_p11_m22_f_2	14:homTensor_p13_f_2	15:homTensor_p23_f_2	16:volume_f_2	17:physical_volume_f_2
0 	1 	0.111 	0.380536 	0.237775 	0.301799 	9.99201e-16 	-4.86176e-16 	-7.41248e-16 	9.71445e-16 	-1.33231e-16 	-4.12079e-16 	9.99201e-16 	-4.15494e-16 	-4.85414e-16 	0.474632 	0.474632
1 	0.798989 	0.037 	0.85442 	0.288295 	0.507104 	-2.3043e-06 	-7.90441e-16 	-1.19407e-15 	-1.66934e-06 	-8.10505e-17 	1.7267e-16 	-6.99472e-06 	-5.32902e-16 	-7.48608e-17 	0.597539 	0.597539
2 	0.575582 	0.02 	0.859094 	0.288928 	0.512224 	-9.93685e-07 	-6.23624e-13 	1.09421e-12 	-7.47301e-07 	-5.68092e-13 	1.14295e-12 	-3.04244e-06 	-2.22184e-12 	3.84508e-12 	0.599894 	0.599894
3 	0.41442 	0.02 	0.853704 	0.290258 	0.508046 	1.1452e-06 	-4.55597e-12 	-3.51926e-12 	1.22048e-06 	-5.2e-12 	-6.22948e-12 	4.23347e-06 	-2.1068e-11 	-2.25439e-11 	0.599383 	0.599383
4 	0.304068 	0.021 	0.849673 	0.29135 	0.505404 	2.87585e-06 	1.6792e-12 	1.59044e-12 	2.56589e-06 	1.17512e-12 	2.68869e-12 	1.11601e-05 	5.45397e-12 	9.13104e-12 	0.599514 	0.599514
5 	0.292215 	0.022 	0.844016 	0.292522 	0.501697 	7.91065e-06 	8.13682e-12 	1.24401e-11 	4.10775e-06 	1.28738e-11 	3.27032e-11 	2.64049e-05 	4.28111e-11 	1.39551e-10 	0.599446 	0.599446
6 	0.293448 	0.022 	0.83658 	0.293912 	0.497028 	-6.39625e-06 	-1.84619e-12 	-3.1571e-12 	-4.62771e-06 	7.39788e-13 	-1.31851e-11 	-2.17306e-05 	-8.58646e-12 	-8.00323e-12 	0.599344 	0.599344
7 	0.295086 	0.023 	0.826258 	0.295689 	0.490995 	-7.66061e-06 	-3.44014e-12 	-5.73186e-12 	-2.54724e-06 	-1.3163e-11 	-2.82344e-11 	-3.00967e-05 	-8.34109e-14 	-2.00135e-10 	0.599192 	0.599192
8 	0.297186 	0.022 	0.811451 	0.297975 	0.483149 	6.85373e-06 	4.65094e-12 	-1.16341e-12 	3.07422e-06 	9.21014e-12 	3.61982e-11 	2.18665e-05 	-1.02565e-12 	1.23406e-10 	0.598968 	0.598968
9 	0.299932 	0.024 	0.789904 	0.300973 	0.473098 	-2.00575e-06 	-1.08323e-12 	9.75089e-12 	9.13248e-07 	-2.34135e-12 	-1.99832e-11 	-8.2306e-06 	1.47648e-11 	-5.24854e-11 	0.598692 	0.598692
10 	0.303557 	0.024 	0.757145 	0.304909 	0.460433 	7.8069e-06 	-8.97089e-13 	-1.3557e-11 	3.01915e-06 	5.25208e-12 	1.6732e-11 	7.67799e-06 	-4.68806e-12 	3.76345e-11 	0.598379 	0.598379
11 	0.308225 	0.024 	0.706045 	0.309905 	0.445211 	2.86029e-05 	7.50465e-12 	2.44523e-11 	4.78459e-06 	1.71931e-12 	-7.68451e-12 	6.22048e-06 	1.20964e-11 	-1.43e-11 	0.59814 	0.59814
12 	0.313482 	0.026 	0.63834 	0.314927 	0.431687 	0.00014459 	-6.90824e-12 	-2.69942e-11 	3.61892e-06 	-3.27508e-12 	2.81238e-12 	1.15851e-05 	1.1516e-11 	2.70792e-11 	0.599057 	0.599057
13 	0.316749 	0.025 	0.564249 	0.317373 	0.421094 	-0.00865158 	1.79552e-09 	2.01017e-09 	-0.00012285 	3.05944e-11 	3.07819e-11 	-0.00120775 	3.06438e-10 	3.22942e-10 	0.599765 	0.599765
14 	0.31846 	0.027 	0.528134 	0.318737 	0.415869 	0.00109095 	-2.84671e-09 	-2.26371e-09 	-4.03603e-05 	-1.99025e-11 	-9.60431e-12 	-0.000220659 	-2.64473e-10 	-1.79131e-10 	0.599665 	0.599665
15 	0.319488 	0.026 	0.537498 	0.319492 	0.4155 	-0.00580592 	-4.57086e-10 	6.01767e-09 	-8.28109e-05 	3.18459e-11 	9.00798e-11 	-0.000786995 	1.76239e-10 	8.61354e-10 	0.599703 	0.599703
16 	0.320301 	0.027 	0.520764 	0.320416 	0.412206 	-0.000418637 	2.20378e-09 	3.50299e-09 	-1.11028e-05 	2.73167e-11 	6.81119e-11 	-0.000155722 	2.94505e-10 	5.37402e-10 	0.599707 	0.599707
17 	0.321059 	0.028 	0.521174 	0.321137 	0.410504 	0.000126614 	9.66744e-08 	1.09299e-07 	1.56873e-05 	1.2993e-09 	1.34273e-09 	3.03132e-05 	1.18511e-08 	1.28391e-08 	0.599688 	0.599688
