#1:iter	2:magCoupling	3:duration	4:volume
0 	0.173556 	0.3 	0.5
1 	0.277008 	0.08 	0.5
2 	0.445395 	0.035 	0.5
3 	0.467243 	0.036 	0.5
4 	0.483418 	0.036 	0.5
5 	0.497936 	0.034 	0.5
6 	0.509993 	0.034 	0.5
7 	0.519532 	0.084 	0.5
8 	0.532851 	0.09 	0.5
9 	0.543751 	0.035 	0.5
10 	0.550576 	0.034 	0.5
11 	0.555385 	0.035 	0.5
12 	0.560088 	0.035 	0.5
13 	0.564286 	0.036 	0.5
14 	0.568028 	0.035 	0.5
15 	0.568845 	0.035 	0.5
16 	0.569825 	0.035 	0.5
17 	0.571142 	0.034 	0.5
18 	0.573302 	0.036 	0.5
19 	0.574712 	0.035 	0.5
20 	0.576513 	0.035 	0.5
21 	0.578864 	0.035 	0.5
22 	0.57945 	0.035 	0.5
23 	0.579555 	0.035 	0.5
24 	0.580246 	0.036 	0.5
25 	0.581141 	0.035 	0.5
26 	0.581331 	0.036 	0.5
27 	0.582015 	0.035 	0.5
28 	0.582046 	0.035 	0.5
29 	0.582059 	0.036 	0.5
30 	0.582127 	0.036 	0.5
31 	0.582317 	0.034 	0.5
32 	0.58233 	0.037 	0.5
33 	0.582397 	0.035 	0.5
34 	0.582455 	0.034 	0.5
35 	0.582469 	0.037 	0.5
