#1:iter	2:sqrMagFluxDensRZ	3:duration	4:volume	5:magCoupling_ferrite
0 	1.31252e-08 	0.341 	0.5 	-0.173556
1 	1.41334e-08 	0.169 	0.485551 	-0.19507
2 	2.74685e-08 	0.05 	0.496739 	-0.34032
3 	2.95556e-08 	0.05 	0.437535 	-0.346768
4 	5.39715e-08 	0.051 	0.5 	-0.476169
5 	3.79469e-08 	0.05 	0.5 	-0.448188
6 	6.8972e-08 	0.052 	0.5 	-0.497125
7 	5.39715e-08 	0.049 	0.5 	-0.476169
8 	7.37069e-08 	0.052 	0.5 	-0.500538
9 	6.8972e-08 	0.051 	0.5 	-0.497125
10 	7.37063e-08 	0.052 	0.5 	-0.500537
11 	7.36866e-08 	0.05 	0.499993 	-0.500503
12 	7.36333e-08 	0.085 	0.499972 	-0.500396
13 	7.34453e-08 	0.051 	0.499894 	-0.500002
14 	7.34275e-08 	0.051 	0.499892 	-0.5
