#1:iter	2:sqrMagFluxDensY	3:duration	4:volume	5:physical_greyness
0 	8.9574e-11 	0.47 	0.5 	0.987654
1 	8.95741e-11 	0.277 	0.5 	0.987654
2 	8.95741e-11 	0.274 	0.5 	0.987654
3 	8.9574e-11 	0.289 	0.5 	0.987654
4 	8.9574e-11 	0.282 	0.5 	0.987654
5 	8.9574e-11 	0.276 	0.5 	0.987654
6 	8.9574e-11 	0.272 	0.5 	0.987654
7 	8.9574e-11 	0.276 	0.5 	0.987654
8 	8.9574e-11 	0.277 	0.5 	0.987654
9 	8.9574e-11 	0.276 	0.5 	0.987654
10 	8.9574e-11 	0.276 	0.5 	0.987654
11 	8.9574e-11 	0.284 	0.5 	0.987654
12 	8.9574e-11 	0.284 	0.5 	0.987654
13 	8.9574e-11 	0.275 	0.5 	0.987654
14 	8.9574e-11 	0.274 	0.5 	0.987654
15 	8.9574e-11 	0.274 	0.5 	0.987654
16 	8.9574e-11 	0.276 	0.5 	0.987654
17 	8.9574e-11 	0.274 	0.5 	0.987654
18 	8.9574e-11 	0.274 	0.5 	0.987654
19 	8.9574e-11 	0.283 	0.5 	0.987654
20 	8.9574e-11 	0.281 	0.5 	0.987654
21 	8.9574e-11 	0.286 	0.5 	0.987654
22 	8.95741e-11 	0.301 	0.5 	0.987654
23 	8.95741e-11 	0.272 	0.5 	0.987654
24 	8.9574e-11 	0.275 	0.5 	0.987654
25 	8.9574e-11 	0.271 	0.5 	0.987654
26 	8.9574e-11 	0.273 	0.5 	0.987654
27 	8.9574e-11 	0.287 	0.5 	0.987654
28 	8.9574e-11 	0.266 	0.5 	0.987654
29 	8.9574e-11 	0.267 	0.5 	0.987654
30 	8.9574e-11 	0.265 	0.5 	0.987654
31 	8.9574e-11 	0.269 	0.5 	0.987654
32 	8.9574e-11 	0.274 	0.5 	0.987654
33 	8.9574e-11 	0.273 	0.5 	0.987654
34 	8.9574e-11 	0.265 	0.5 	0.987654
35 	8.9574e-11 	0.289 	0.5 	0.987654
36 	8.9574e-11 	0.27 	0.5 	0.987654
37 	8.9574e-11 	0.274 	0.5 	0.987654
38 	8.9574e-11 	0.275 	0.5 	0.987654
39 	8.9574e-11 	0.276 	0.5 	0.987654
40 	8.9574e-11 	0.276 	0.5 	0.987654
41 	8.9574e-11 	0.276 	0.5 	0.987654
42 	8.9574e-11 	0.267 	0.5 	0.987654
43 	8.95741e-11 	0.357 	0.5 	0.987654
44 	8.95741e-11 	0.322 	0.5 	0.987654
45 	8.9574e-11 	0.317 	0.5 	0.987654
46 	8.9574e-11 	0.311 	0.5 	0.987654
47 	8.9574e-11 	0.308 	0.5 	0.987654
48 	8.9574e-11 	0.375 	0.5 	0.987654
49 	8.9574e-11 	0.301 	0.5 	0.987654
50 	8.9574e-11 	0.39 	0.5 	0.987654
51 	8.9574e-11 	0.337 	0.5 	0.987654
52 	8.9574e-11 	0.304 	0.5 	0.987654
53 	8.9574e-11 	0.315 	0.5 	0.987654
54 	8.9574e-11 	0.332 	0.5 	0.987654
55 	8.9574e-11 	0.314 	0.5 	0.987654
56 	8.9574e-11 	0.309 	0.5 	0.987654
57 	8.9574e-11 	0.349 	0.5 	0.987654
58 	8.9574e-11 	0.304 	0.5 	0.987654
59 	8.9574e-11 	0.3 	0.5 	0.987654
60 	8.9574e-11 	0.301 	0.5 	0.987654
61 	8.9574e-11 	0.3 	0.5 	0.987654
62 	8.9574e-11 	0.305 	0.5 	0.987654
63 	8.9574e-11 	0.307 	0.5 	0.987654
64 	8.9574e-11 	0.397 	0.5 	0.987654
