#1:iter	2:bandgap	3:max_ef_3_wv	4:min_ef_4_wv	5:duration	6:youngsModulusE1	7:homTensor_p11_m22	8:homTensor_p13	9:homTensor_p23	10:volume
0 	-651.266 	4 	0 	1 	0.223155 	5.55112e-16 	6.49162e-16 	-2.50537e-16 	0.438063
1 	541.615 	0 	0 	0 	0.194699 	-0.00235141 	3.047e-05 	-4.15032e-05 	0.46024
2 	1491.88 	0 	0 	0 	0.199005 	0.021954 	-0.000720866 	-0.00162019 	0.489719
3 	1996.83 	0 	0 	0 	0.199444 	0.00498018 	4.66412e-05 	-0.000690462 	0.5
4 	2348.31 	0 	0 	1 	0.191545 	-0.00124072 	3.81606e-05 	-2.66353e-05 	0.5
5 	2435.74 	0 	0 	0 	0.191081 	-0.00807516 	9.53411e-05 	0.000125358 	0.5
6 	2294.58 	0 	0 	0 	0.199869 	0.00160519 	-2.34778e-05 	-6.0334e-05 	0.5
7 	2415.56 	0 	0 	0 	0.195145 	-0.00405398 	4.63604e-05 	5.61397e-05 	0.5
8 	2314.9 	0 	0 	0 	0.199516 	-0.000397415 	-2.85887e-05 	-7.09067e-06 	0.5
9 	2392.55 	0 	0 	0 	0.196341 	-0.0030544 	3.29077e-05 	4.15421e-05 	0.5
10 	2371.64 	0 	0 	1 	0.195189 	-0.00470943 	-0.000137458 	-1.7058e-05 	0.5
11 	2392.28 	0 	0 	0 	0.197116 	-0.00251835 	-3.13954e-06 	2.09755e-05 	0.5
12 	2317.33 	0 	4 	0 	0.199782 	-0.000161471 	1.80416e-05 	1.64656e-06 	0.5
13 	2386.62 	0 	0 	0 	0.19787 	-0.00185818 	-9.93762e-07 	1.55011e-05 	0.5
14 	2227.18 	0 	4 	0 	0.199587 	-0.000275806 	-1.14299e-05 	3.06894e-06 	0.5
15 	2386.88 	0 	0 	0 	0.197993 	-0.00174997 	-9.73396e-07 	1.46026e-05 	0.5
16 	2386.95 	0 	0 	0 	0.198233 	-0.00153884 	-1.16367e-06 	1.28732e-05 	0.5
17 	2220.63 	0 	4 	1 	0.199884 	1.22975e-05 	7.79122e-06 	8.61396e-06 	0.5
18 	2383.28 	0 	4 	0 	0.198278 	-0.00149904 	-1.12834e-06 	1.25462e-05 	0.5
19 	2386.94 	0 	0 	0 	0.198234 	-0.0015375 	-1.16265e-06 	1.2862e-05 	0.5
20 	2386.92 	0 	0 	0 	0.198238 	-0.00153392 	-1.15987e-06 	1.28321e-05 	0.5
21 	2386.47 	0 	4 	0 	0.198245 	-0.00152833 	-1.15536e-06 	1.27857e-05 	0.5
22 	2386.83 	0 	4 	0 	0.198241 	-0.00153168 	-1.15809e-06 	1.28135e-05 	0.5
23 	2386.92 	0 	0 	1 	0.198239 	-0.00153318 	-1.15929e-06 	1.2826e-05 	0.5
24 	2386.92 	0 	0 	0 	0.19824 	-0.00153265 	-1.15887e-06 	1.28216e-05 	0.5
25 	2386.9 	0 	4 	0 	0.19824 	-0.00153229 	-1.15858e-06 	1.28187e-05 	0.5
26 	2386.92 	0 	0 	0 	0.19824 	-0.00153253 	-1.15877e-06 	1.28206e-05 	0.5
27 	2257.54 	0 	4 	0 	0.199929 	7.62425e-05 	6.26005e-06 	1.47501e-05 	0.5
28 	2382.13 	0 	4 	0 	0.198305 	-0.00147593 	-1.10765e-06 	1.23682e-05 	0.5
29 	2386.75 	0 	4 	0 	0.198242 	-0.00153048 	-1.15721e-06 	1.28034e-05 	0.5
30 	2386.92 	0 	0 	1 	0.19824 	-0.00153251 	-1.15876e-06 	1.28204e-05 	0.5
31 	2386.91 	0 	4 	0 	0.19824 	-0.00153242 	-1.15869e-06 	1.28197e-05 	0.5
32 	2386.92 	0 	0 	0 	0.19824 	-0.00153249 	-1.15874e-06 	1.28203e-05 	0.5
33 	2386.92 	0 	0 	0 	0.19824 	-0.00153247 	-1.15873e-06 	1.28201e-05 	0.5
34 	2386.92 	0 	4 	0 	0.19824 	-0.00153246 	-1.15872e-06 	1.282e-05 	0.5
35 	2386.92 	0 	0 	0 	0.19824 	-0.00153246 	-1.15872e-06 	1.28201e-05 	0.5
36 	2386.92 	0 	0 	0 	0.19824 	-0.00153246 	-1.15872e-06 	1.282e-05 	0.5
