#1:iter	2:slack	3:duration	4:alpha	5:eigenfrequency_2_wv_0	6:eigenfrequency_3_wv_0	7:eigenfrequency_4_wv_0	8:eigenfrequency_5_wv_0	9:youngsModulusE1_f_0	10:youngsModulusE1_f_1	11:homTensor_p11_m22_f_0	12:homTensor_p13_f_0	13:homTensor_p23_f_0	14:homTensor_p11_m22_f_1	15:homTensor_p13_f_1	16:homTensor_p23_f_1	17:volume	18:eigenfrequency_2_wv_1	19:eigenfrequency_3_wv_1	20:eigenfrequency_4_wv_1	21:eigenfrequency_5_wv_1	22:eigenfrequency_2_wv_2	23:eigenfrequency_3_wv_2	24:eigenfrequency_4_wv_2	25:eigenfrequency_5_wv_2	26:eigenfrequency_2_wv_3	27:eigenfrequency_3_wv_3	28:eigenfrequency_4_wv_3	29:eigenfrequency_5_wv_3	30:eigenfrequency_2_wv_4	31:eigenfrequency_3_wv_4	32:eigenfrequency_4_wv_4	33:eigenfrequency_5_wv_4	34:eigenfrequency_2_wv_5	35:eigenfrequency_3_wv_5	36:eigenfrequency_4_wv_5	37:eigenfrequency_5_wv_5	38:greyness	39:access_ greyness
0 	0 	0 	100 	6.9232e-05 	1365.18 	1365.18 	1642.7 	1.05922 	0.466854 	1.55431e-15 	1.52662e-15 	-1.27701e-15 	7.77156e-16 	1.14539e-15 	-4.41699e-16 	0.380239 	784.776 	1092.65 	1545.87 	1941.09 	886.676 	1051.58 	2090.89 	2246.36 	1066.71 	1194.59 	1852.85 	2565.23 	1356.89 	1680.61 	1699.07 	2709.95 	889.807 	1175.92 	1474.41 	2173.47 	0 	0.317858
1 	0 	1 	109.921 	4.35758e-05 	1364.34 	1364.91 	1642.67 	1.05544 	0.467978 	1.55368e-07 	0.00048887 	0.000503648 	4.11414e-07 	0.000218591 	0.000220949 	0.381218 	784.543 	1092.37 	1545.08 	1940.95 	886.479 	1051.26 	2089.59 	2246.33 	1066.25 	1194.07 	1852.03 	2566.15 	1356.47 	1677.56 	1700.97 	2710.2 	890.191 	1173.42 	1474.34 	2174.19 	0.00729777 	0.31766
2 	0 	0 	119.575 	-1.63385e-07 	1354.09 	1359.81 	1641.64 	1.01184 	0.451642 	0.00790644 	0.00189902 	0.00131435 	0.003238 	0.000865014 	0.000763996 	0.379809 	783.644 	1088.29 	1536.33 	1938.67 	882.673 	1048.1 	2082.97 	2245.05 	1062.92 	1188.96 	1849.02 	2563.75 	1349.29 	1666.86 	1705.92 	2704.71 	889.086 	1164.99 	1469.87 	2169.82 	0.0252672 	0.317763
3 	0 	0 	125.907 	-2.16063e-07 	1362.68 	1364.53 	1642.4 	1.04931 	0.469806 	2.63622e-05 	0.00133857 	0.00122555 	4.29409e-06 	0.000586539 	0.000567991 	0.382804 	784.246 	1091.53 	1544.4 	1939.66 	885.984 	1051.14 	2088.28 	2244.3 	1065.49 	1193.34 	1850.45 	2566.97 	1355.68 	1672.51 	1703.73 	2710.43 	890.697 	1169.33 	1474.05 	2175.08 	0.0188286 	0.317222
4 	0.0438955 	0 	451.444 	-1.79912e-07 	1377.57 	1394.56 	1617.47 	1.04773 	0.539965 	0.0101636 	0.00162277 	0.00121788 	0.00513689 	0.000648883 	0.000606692 	0.408082 	782.417 	1097.49 	1559.9 	1925.77 	887.692 	1060.35 	2068.72 	2222.4 	1050.15 	1207.71 	1827.82 	2544.57 	1380.51 	1624.94 	1676.9 	2749.8 	887.385 	1156.27 	1495.43 	2159.46 	0.131146 	0.313898
5 	0 	0 	277.345 	-3.61495e-08 	1064.2 	1143.76 	1517.25 	0.432642 	0.228493 	0.0720951 	0.00983675 	0.00618072 	0.0341717 	0.00641252 	0.00599952 	0.355235 	692.274 	923.728 	1268.06 	1765.1 	744.973 	899.596 	1795.9 	2076.87 	908.943 	996.37 	1674.14 	2324.62 	1105.69 	1374.63 	1670.88 	2335.27 	786.822 	942.442 	1265.65 	1940.24 	0.261922 	0.220351
6 	0.364376 	0 	1393.15 	-2.23149e-07 	1209.39 	1320.53 	1475.47 	0.94348 	0.856482 	0.271216 	-0.00547232 	0.00850095 	0.149057 	0.00299237 	0.00352115 	0.5 	657.325 	984.703 	1487.35 	1634 	751.989 	1013.25 	1714.28 	1883.06 	798.102 	1134.2 	1593.08 	2056.1 	1130.46 	1249.91 	1549.06 	2250.9 	713.99 	954.031 	1483.69 	1803.03 	0.113945 	0.288079
7 	11.271 	0 	1510.32 	5.87557e-05 	1297.12 	1449.14 	1588.47 	0.925251 	0.78493 	-0.0651369 	-0.0177246 	0.00608286 	-0.0068326 	-0.0174778 	-0.0021082 	0.495077 	633.948 	1085.67 	1543.25 	1861.39 	752.286 	1091.93 	1797.31 	2186.15 	864.933 	1189.07 	1705.95 	2311.13 	1218.18 	1338.96 	1653.26 	2490.43 	750.269 	1062.33 	1553.64 	1996.7 	0.0537773 	0.266918
8 	11.3244 	0 	1409.03 	5.96355e-05 	1350.97 	1378.9 	1645.79 	0.99969 	0.820378 	0.0741633 	0.00853468 	-0.00744495 	0.0611388 	0.00554364 	0.00281036 	0.497445 	738.497 	1097.72 	1529.64 	1901.04 	850.249 	1054.54 	2045.02 	2132.28 	990.333 	1226.61 	1806.52 	2321.53 	1349.38 	1545.26 	1699.52 	2275.49 	860.231 	1136.93 	1500.31 	2021.48 	0.206067 	0.342347
9 	1.78016 	0 	1395.2 	-1.43382e-07 	1222.61 	1360.44 	1467.09 	0.934142 	0.849642 	0.235739 	-0.00471871 	0.00731392 	0.130488 	0.00267936 	0.00310196 	0.49967 	665.684 	1000.88 	1504.44 	1652.93 	765.396 	1015.81 	1763.01 	1895.16 	822.291 	1144.24 	1619.85 	2088.9 	1165.42 	1271.42 	1571.17 	2284 	731.057 	976.355 	1494.47 	1826.71 	0.148195 	0.304661
