#1:iter	2:compliance	3:duration	4:bucklingLoadFactor_5	5:volume	6:bucklingLoadFactor_4	7:bucklingLoadFactor_3
0 	0.0715087 	0.659 	2.4999 	0.5 	3.18839 	3.232
1 	0.0665155 	0.406 	3.23469 	0.432515 	3.44011 	4.10682
2 	0.0447467 	0.389 	6.8724 	0.459143 	7.0663 	7.6157
3 	0.0363854 	0.448 	8.15401 	0.489084 	8.34618 	8.65158
4 	0.0341699 	0.347 	8.15943 	0.496003 	8.38955 	8.72077
5 	0.0332061 	0.375 	8.09245 	0.497856 	8.41614 	8.75496
6 	0.0326051 	0.371 	8.07522 	0.498427 	8.35902 	8.69675
7 	0.0321239 	0.494 	8.06079 	0.498762 	8.30428 	8.63427
8 	0.0317214 	0.376 	8.05111 	0.498882 	8.27339 	8.59111
9 	0.0313146 	0.433 	8.04724 	0.49886 	8.23423 	8.53114
10 	0.0308517 	0.415 	8.04461 	0.49871 	8.23165 	8.54462
11 	0.0302733 	0.399 	8.02128 	0.498425 	8.2161 	8.46117
12 	0.0296056 	0.339 	8.01789 	0.498116 	8.18917 	8.46499
13 	0.0289819 	0.376 	8.04924 	0.498042 	8.2207 	8.49912
14 	0.0284559 	0.355 	8.02763 	0.498319 	8.19212 	8.48531
15 	0.0280757 	0.383 	8.01804 	0.498694 	8.18158 	8.50987
16 	0.0277771 	0.409 	8.00209 	0.498951 	8.17036 	8.51407
17 	0.0275259 	0.345 	7.97636 	0.499101 	8.16941 	8.58775
18 	0.0273062 	0.337 	7.95639 	0.499222 	8.14415 	8.82664
19 	0.0271319 	0.405 	7.97345 	0.49935 	8.1697 	9.08955
20 	0.0269966 	0.332 	7.98519 	0.499523 	8.17075 	9.22203
