#1:iter	2:compliance	3:duration	4:volume	5:heatEnergy	6:lambda	7:lambda_iters
0 	36.4273 	0.081 	0.3 	106.249 	-1 	-1
1 	28.5587 	0.003 	0.3 	118.089 	79.8121 	26
2 	25.7945 	0.002 	0.299999 	129.448 	77.7424 	15
3 	24.5313 	0.002 	0.3 	136.843 	77.4624 	18
4 	23.9857 	0.002 	0.3 	142.04 	75.5589 	18
5 	23.7966 	0.002 	0.3 	145.332 	72.8472 	10
6 	23.6804 	0.002 	0.3 	148.834 	71.7605 	17
7 	23.6038 	0.002 	0.3 	152.353 	70.8491 	18
8 	23.5477 	0.002 	0.3 	156.23 	70.3132 	16
9 	23.5043 	0.001 	0.3 	160.464 	69.9784 	11
10 	23.4698 	0.002 	0.299999 	165.121 	69.7434 	17
