#1:iter	2:slack	3:duration	4:youngsModulusE1	5:homTensor_p11_m22	6:homTensor_p13	7:homTensor_p23	8:eigenfrequency_1
0 	2500 	1.561 	0.421859 	-4.05231e-15 	-2.10885e-15 	-8.32213e-16 	9325.73
1 	2512.04 	0.473 	0.421859 	-4.32987e-15 	-2.26909e-15 	-8.21209e-16 	9325.73
2 	2524.08 	0.338 	0.421859 	-3.44169e-15 	-2.01365e-15 	-6.7495e-16 	9325.73
3 	2512.04 	0.7 	0.421859 	-4.38538e-15 	-2.24134e-15 	-5.02562e-16 	9325.73
4 	2536.12 	0.471 	0.421859 	-4.32987e-15 	-2.26909e-15 	-8.21209e-16 	9325.73
5 	2596.33 	0.163 	0.421859 	-3.44169e-15 	-2.01365e-15 	-6.7495e-16 	9325.73
6 	4101.53 	0.516 	0.421859 	-4.32987e-15 	-2.26909e-15 	-8.21209e-16 	9325.73
7 	7740.33 	0.489 	0.421859 	-4.38538e-15 	-2.24134e-15 	-5.02562e-16 	9325.73
8 	2524.08 	0.422 	0.421859 	-4.32987e-15 	-2.26909e-15 	-8.21209e-16 	9325.73
9 	11235.9 	0.599 	0.341689 	7.92588e-13 	-9.87398e-14 	-5.35644e-13 	11579.1
10 	2536.12 	0.515 	0.421859 	-3.44169e-15 	-2.01365e-15 	-6.7495e-16 	9325.73
11 	11593.2 	0.484 	0.341142 	-1.04547e-07 	4.17928e-13 	4.09196e-14 	11592.6
12 	12632.7 	0.432 	0.248695 	-7.21489e-05 	0.000778337 	0.000807175 	4480.68
13 	11855.1 	0.333 	0.32931 	-0.000209259 	0.000101671 	0.000104192 	10745.2
14 	11617.2 	0.42 	0.340467 	-1.6355e-05 	9.46988e-06 	9.55814e-06 	11612.3
15 	12651.6 	0.415 	0.223112 	-0.00209164 	0.00627875 	0.00594616 	4079.2
16 	11659.7 	0.487 	0.338339 	-5.37835e-05 	0.000229866 	0.000235386 	11102.6
17 	11620.6 	0.517 	0.340405 	-1.58103e-05 	1.14867e-05 	1.16639e-05 	11615.6
18 	11626.4 	0.356 	0.340215 	-1.59992e-05 	2.45423e-05 	2.51744e-05 	11620.3
19 	12577.6 	0.277 	0.23637 	-0.00941352 	-0.00532584 	-0.00615456 	5979.23
20 	11672.8 	0.291 	0.338163 	-3.36664e-05 	-0.0004864 	-0.000427147 	11643.6
21 	12667.9 	0.312 	0.236354 	-0.000240502 	-0.00560355 	-0.000608215 	5481.45
22 	11819.4 	0.259 	0.329352 	-0.00189125 	-0.000938413 	-0.000565894 	11639.3
23 	11753.2 	0.242 	0.333955 	-0.00110718 	-0.000715969 	-0.00053077 	11688
24 	13104.1 	0.412 	0.212977 	-0.00519463 	-0.00419 	-0.00719983 	5521.55
25 	11877.3 	0.364 	0.329016 	-0.000401649 	-0.00103162 	-0.00073995 	11717.1
26 	12626.3 	0.255 	0.251916 	-0.01846 	-0.00184011 	-0.0016109 	8325.92
27 	11922.9 	0.317 	0.327758 	-0.000977308 	-0.000951696 	-0.000710407 	11743.1
28 	12639.2 	0.691 	0.246681 	0.00585738 	-0.00616052 	-0.0063365 	2124.83
29 	11954 	0.365 	0.327079 	-0.000618775 	-0.000964478 	-0.000734282 	11777.3
30 	12420.9 	0.26 	0.277087 	0.000220008 	0.000873565 	0.000575766 	11495.3
31 	12144.4 	0.344 	0.318392 	-0.000333346 	-0.000333237 	-0.000231816 	11925.2
32 	12307.9 	0.343 	0.294216 	-0.00318104 	-0.00053929 	0.00134119 	7838.69
33 	12236.1 	0.296 	0.312054 	-0.00138636 	-0.000464862 	0.000146099 	11602.9
34 	12157.6 	0.286 	0.318909 	-0.000316448 	-0.000330456 	-0.000227213 	11941.4
35 	12163 	0.399 	0.308089 	0.00577515 	-0.00137969 	-0.00102001 	5089.59
36 	12789.2 	0.357 	0.325181 	0.0227613 	-0.00125946 	-0.000188211 	4601.74
37 	38502 	0.381 	0.536302 	0.051068 	-0.000808226 	-0.00013582 	6746.78
38 	10290.2 	0.346 	0.49562 	-0.0876192 	-0.0198329 	-0.0166537 	8680.63
39 	10506.9 	0.563 	0.55916 	0.0443138 	-0.0359947 	-0.0304446 	7698.76
40 	10401 	0.42 	0.568605 	-0.0122997 	-0.0238162 	-0.0210907 	8434.72
41 	10062.3 	0.341 	0.494004 	0.189793 	-0.0222839 	-0.0168404 	7056.16
42 	10296.5 	0.668 	0.566716 	0.00910904 	-0.0194148 	-0.0168677 	8837.75
43 	10018.2 	0.385 	0.466494 	0.0560689 	0.0130842 	0.0160522 	7696.27
44 	10193.5 	0.427 	0.555975 	0.0151195 	-0.011109 	-0.00914208 	8729.82
45 	10257.2 	0.448 	0.565307 	0.00953531 	-0.0165355 	-0.0142809 	8904.26
46 	10196 	0.623 	0.305792 	-0.0489701 	0.00351493 	0.000588984 	7466.69
47 	10219.5 	0.513 	0.446155 	-0.0092918 	-0.00561258 	-0.00588596 	9340.26
48 	11230.4 	0.595 	0.372715 	0.0549294 	-0.0047639 	-0.00208718 	9813.9
49 	12330.2 	0.532 	0.389981 	-0.0188018 	-0.0298084 	-0.0228976 	7578.04
50 	11367.2 	0.403 	0.389745 	0.0469395 	-0.00441151 	-0.000713521 	9862.81
51 	11314.6 	1.102 	0.384423 	0.0498181 	-0.00441436 	-0.00109284 	9916
52 	13206.5 	0.381 	0.451261 	0.00175144 	-0.0326242 	-0.0452935 	6828.03
53 	11573.1 	0.465 	0.422398 	0.0176201 	-0.00780114 	-0.00448647 	9947.57
54 	11892.1 	0.465 	0.299044 	0.00992668 	0.00262669 	0.00213618 	9890.39
55 	11780.9 	0.61 	0.356523 	0.00825732 	-0.00120092 	-0.00017883 	10659.6
56 	12024.6 	0.642 	0.289583 	-0.0187392 	0.00149688 	-0.002405 	7602.62
57 	11917.5 	0.578 	0.330535 	-0.00125955 	-0.000203919 	-0.000729768 	11220.7
58 	12605.6 	0.435 	0.299556 	-0.00431861 	0.00320662 	0.00499215 	8903.39
59 	12333.5 	0.529 	0.31856 	-0.00337252 	0.00108854 	0.0014221 	11525.5
60 	12477.1 	0.459 	0.292129 	-0.0172842 	0.0025243 	0.00186663 	11212
61 	12383.4 	0.401 	0.3174 	-0.00450707 	0.00124188 	0.00123099 	11689.2
62 	12580.7 	0.51 	0.317311 	4.99754e-05 	0.00129157 	-0.000174563 	11493.5
63 	12456.3 	0.757 	0.32041 	-0.00263384 	0.00104889 	0.000821056 	11923.2
64 	12222.2 	0.591 	0.306707 	-0.0112001 	-0.00218418 	-0.00126297 	9861.86
65 	12366.7 	0.42 	0.320497 	-0.00332099 	0.000502194 	0.00046758 	11877.3
66 	12431 	0.569 	0.321106 	-0.00251216 	0.000929858 	0.000735551 	11942.2
67 	12120.8 	1.235 	0.306264 	-0.00727671 	0.00212133 	0.00424274 	5273.16
68 	12427 	0.647 	0.321212 	-0.00248393 	0.000918744 	0.000727182 	11944.5
69 	12409.3 	0.816 	0.321482 	-0.00243434 	0.000890346 	0.000716176 	11952.7
70 	12080.5 	0.634 	0.318953 	-0.00598611 	0.000574169 	0.000430644 	8289.84
71 	12249.5 	0.62 	0.323297 	-0.00259373 	0.00061098 	0.000502416 	11979.7
72 	12059.7 	0.536 	0.325358 	0.00108027 	7.21176e-05 	-0.000177347 	11736.8
73 	12153.8 	0.848 	0.325573 	-0.000955329 	0.000311319 	0.000190319 	11964.8
74 	12209.9 	0.528 	0.3245 	-0.00197451 	0.00048376 	0.000385244 	11982.1
75 	12063.8 	0.531 	0.315176 	-0.00937251 	0.000588181 	0.000650803 	8070.84
76 	12201.1 	0.865 	0.324776 	-0.0018906 	0.000457372 	0.000365407 	11986.4
77 	12020.3 	0.619 	0.322033 	-0.000828268 	-0.00060982 	-0.000851324 	11638.7
