#1:iter	2:slack	3:duration	4:youngsModulusE1	5:homTensor_p11_m22	6:homTensor_p13	7:homTensor_p23	8:eigenfrequency_1	9:volume
0 	2500 	0.331 	0.424447 	-4.05231e-15 	-1.92432e-15 	-4.49978e-16 	9352.55 	0.5
1 	2512.04 	0.2 	0.424447 	-4.05231e-15 	-1.92432e-15 	-4.49978e-16 	9352.55 	0.5
2 	2524.08 	0.053 	0.424447 	-4.05231e-15 	-1.92432e-15 	-4.49978e-16 	9352.55 	0.5
3 	2512.04 	0.097 	0.424447 	-4.05231e-15 	-1.92432e-15 	-4.49978e-16 	9352.55 	0.5
4 	2536.12 	0.058 	0.424447 	-4.05231e-15 	-1.92432e-15 	-4.49978e-16 	9352.55 	0.5
5 	2596.33 	0.1 	0.424447 	-4.05231e-15 	-1.92432e-15 	-4.49978e-16 	9352.55 	0.5
6 	4101.53 	0.091 	0.424447 	-4.05231e-15 	-1.92432e-15 	-4.49978e-16 	9352.55 	0.5
7 	7740.33 	0.065 	0.424447 	-4.05231e-15 	-1.92432e-15 	-4.49978e-16 	9352.55 	0.5
8 	2524.08 	0.181 	0.424447 	-4.05231e-15 	-1.92432e-15 	-4.49978e-16 	9352.55 	0.5
9 	11266.7 	0.073 	0.327856 	1.72085e-15 	-2.78568e-08 	-2.78568e-08 	11925.5 	0.5
10 	2536.12 	0.079 	0.424447 	-4.05231e-15 	-1.92432e-15 	-4.49978e-16 	9352.55 	0.5
11 	12440.8 	0.074 	0.300265 	-7.32747e-15 	-0.00252556 	-0.00252556 	11251 	0.5
12 	11656.2 	0.084 	0.324578 	0 	-0.000328708 	-0.000328708 	11878.9 	0.5
13 	12455.5 	0.126 	0.286025 	-0.00231849 	0.00137699 	0.00252841 	9693.05 	0.5
14 	11764 	0.083 	0.323337 	-6.6149e-05 	-0.000205783 	-0.000164859 	11849.8 	0.5
15 	11715.3 	0.091 	0.324263 	-2.57631e-05 	-0.00028797 	-0.000272175 	11891.6 	0.5
16 	12152.6 	0.127 	0.320288 	-0.00166043 	-0.00110827 	-0.000610209 	11619.8 	0.5
17 	11827.6 	0.101 	0.325171 	4.18854e-05 	-0.00028274 	-0.000276444 	11910.5 	0.5
18 	12186.7 	0.097 	0.331482 	0.00691415 	4.18187e-05 	-0.000620647 	11365.7 	0.5
19 	11873.4 	0.147 	0.327197 	0.000216119 	-0.000249386 	-0.000272696 	11924.2 	0.5
20 	12336.4 	0.138 	0.332869 	0.00668624 	0.000437438 	0.000944443 	10989.5 	0.5
21 	11918.6 	0.149 	0.329282 	0.000365332 	-0.000215629 	-0.000224616 	11934.4 	0.5
22 	12107.1 	0.119 	0.316947 	-0.00416559 	0.00142073 	0.000501397 	5885.87 	0.5
23 	11922.1 	0.11 	0.329285 	0.00035676 	-0.000210569 	-0.000219793 	11937.4 	0.5
24 	11934.8 	0.109 	0.329178 	0.00029565 	-0.000178973 	-0.000195311 	11945.4 	0.5
25 	12037.4 	0.23 	0.31236 	0.00013129 	0.00237438 	0.002187 	3923.88 	0.5
26 	11935.1 	0.132 	0.329179 	0.000294828 	-0.000178214 	-0.000194506 	11945.6 	0.5
27 	11937.7 	0.131 	0.329115 	0.000284565 	-0.000152074 	-0.000167897 	11947.7 	0.5
28 	12092.3 	0.153 	0.327197 	0.00190839 	0.000620226 	0.000221385 	11527.7 	0.5
29 	11950.7 	0.127 	0.329174 	0.000281592 	-0.000135257 	-0.000151766 	11952.4 	0.5
30 	12025.6 	0.169 	0.316074 	-0.0116412 	0.000724985 	0.000581523 	11923.4 	0.5
31 	11976.2 	0.139 	0.327722 	-0.00132448 	4.50312e-05 	-3.69778e-05 	11965.3 	0.5
32 	12118.3 	0.157 	0.32597 	0.00127296 	-0.000333883 	-0.000227839 	11545.4 	0.5
33 	11988.4 	0.183 	0.327889 	-0.00119735 	3.88689e-05 	-3.68097e-05 	11968.8 	0.5
34 	11996.6 	0.207 	0.328565 	-0.000612244 	0.000155889 	0.000107087 	10419.6 	0.5
35 	36156.9 	0.174 	0.334194 	-0.00293575 	1.28188e-05 	6.31168e-05 	11804.7 	0.5
36 	14487 	0.142 	0.366037 	0.14251 	-0.00320575 	-0.00010127 	5948.02 	0.5
37 	36136.6 	0.177 	0.33457 	-0.00288632 	1.08593e-05 	6.14659e-05 	11806.7 	0.5
38 	36156.5 	0.141 	0.334203 	-0.00293566 	1.28172e-05 	6.31143e-05 	11804.8 	0.5
39 	14468.2 	0.194 	0.382644 	0.158776 	0.00263466 	0.00450077 	6778.39 	0.5
40 	10452.8 	0.207 	0.312004 	-0.00281982 	-0.00484576 	-0.00227286 	7245.97 	0.5
41 	24695.8 	0.556 	0.242456 	-0.0319418 	0.00710175 	0.0138095 	4583.52 	0.5
42 	13670.2 	0.414 	0.419626 	0.0166659 	-0.00597327 	-0.00509397 	8291.69 	0.5
43 	10997.2 	0.097 	0.237316 	0.00460687 	0.0352969 	0.0330598 	7563.78 	0.5
44 	12131.6 	0.37 	0.387727 	-0.000187345 	0.0059279 	0.00558528 	9054.52 	0.5
45 	11315.2 	0.156 	0.259433 	-0.0167589 	-0.00618846 	-0.00915183 	7432.56 	0.5
46 	11901.4 	0.159 	0.380707 	-0.000313858 	0.00412903 	0.00374023 	9247.82 	0.5
47 	11440.5 	0.213 	0.338777 	0.0596112 	-0.0119039 	-0.0133725 	4958.04 	0.5
48 	11612.9 	0.164 	0.388466 	0.0239645 	-0.00224621 	-0.00302458 	10050.2 	0.5
49 	12505.3 	0.165 	0.306572 	-0.00907164 	-0.00184354 	-0.00165425 	7013.97 	0.5
50 	11973.8 	0.193 	0.376178 	0.0128506 	-0.00245466 	-0.00293935 	10064.5 	0.5
51 	11783 	0.223 	0.385669 	0.0189169 	-0.00222056 	-0.00285225 	10257.7 	0.5
52 	11755.5 	0.175 	0.331005 	0.00815775 	0.00994319 	0.0110855 	9958.3 	0.5
53 	11768 	0.177 	0.36958 	0.00888593 	0.000760724 	0.000570263 	10681.4 	0.5
54 	12722.3 	0.19 	0.323388 	-0.00126878 	-0.0106137 	-0.0132561 	9796.85 	0.5
55 	12065 	0.187 	0.366721 	0.0059198 	-0.000588615 	-0.00092738 	10804.2 	0.5
56 	11842.4 	0.185 	0.335553 	-0.00881499 	-0.000885589 	0.000768053 	11285.4 	0.5
57 	11951.7 	0.19 	0.337899 	0.000916298 	-0.000202213 	0.0025212 	10547 	0.5
58 	11895 	0.195 	0.337768 	-0.00467485 	-0.000734784 	0.00102128 	11407.7 	0.5
59 	12361.6 	0.196 	0.319032 	-0.0207717 	0.0017024 	0.00388122 	10972.6 	0.5
60 	12018.2 	0.196 	0.338326 	-0.0056238 	-0.000279194 	0.00109349 	11587.8 	0.5
