#1:iter	2:compliance	3:duration	4:volume	5:scale	6:opt_scale
0 	87.4256 	0.084 	0.5 	0.146577 	0.146577
1 	63.0094 	0.002 	0.471757 	0.146577 	0.82851
2 	47.8904 	0.002 	0.488786 	0.146577 	1.39251
3 	40.0612 	0.002 	0.491131 	0.146577 	1.86786
4 	34.0371 	0.002 	0.491477 	0.146577 	1.99354
5 	30.1568 	0.002 	0.494471 	0.146577 	2.14616
6 	27.7212 	0.003 	0.496111 	0.146577 	2.20279
7 	26.1215 	0.002 	0.496734 	0.146577 	2.23318
8 	24.6857 	0.002 	0.496516 	0.146577 	2.27841
9 	23.6431 	0.003 	0.497477 	0.146577 	2.30646
10 	23.0769 	0.002 	0.498476 	0.146577 	2.30571
11 	22.7166 	0.002 	0.498952 	0.146577 	2.30393
12 	22.4304 	0.003 	0.499036 	0.146577 	2.30251
13 	22.2492 	0.002 	0.49961 	0.146577 	2.30176
14 	22.1596 	0.003 	0.499739 	0.146577 	2.30149
15 	22.0678 	0.003 	0.499683 	0.146577 	2.30131
16 	21.9813 	0.002 	0.499781 	0.146577 	2.30099
17 	21.9223 	0.003 	0.499801 	0.146577 	2.3006
18 	21.8919 	0.003 	0.499926 	0.146577 	2.30036
19 	21.8757 	0.002 	0.499945 	0.146577 	2.30017
20 	21.8621 	0.003 	0.499953 	0.146577 	2.30042
21 	21.8497 	0.003 	0.499958 	0.146577 	2.30087
22 	21.8397 	0.003 	0.499965 	0.146577 	2.30124
23 	21.8304 	0.003 	0.499968 	0.146577 	2.30168
24 	21.8213 	0.003 	0.499969 	0.146577 	2.30227
25 	21.8128 	0.003 	0.49997 	0.146577 	2.30306
26 	21.8033 	0.003 	0.499967 	0.146577 	2.30403
27 	21.7945 	0.003 	0.499972 	0.146577 	2.30474
28 	21.788 	0.003 	0.499977 	0.146577 	2.305
29 	21.7827 	0.003 	0.49998 	0.146577 	2.3051
30 	21.7787 	0.003 	0.49998 	0.146577 	2.3053
31 	21.7766 	0.003 	0.499972 	0.146577 	2.30545
32 	21.7743 	0.003 	0.499951 	0.146577 	2.30562
33 	21.77 	0.005 	0.499946 	0.146577 	2.30612
34 	22.1016 	0.004 	0.495489 	0.146577 	2.3044
35 	21.7797 	0.004 	0.499857 	0.146577 	2.30607
36 	21.7659 	0.003 	0.499958 	0.146577 	2.3062
37 	21.7624 	0.004 	0.499997 	0.146577 	2.30629
38 	21.7617 	0.004 	0.499997 	0.146577 	2.30634
