#iter	compliance	change	problems	volume	max_f_grad
0	171.747	0.5	1	0.5	67.7461
1	137.817	0.495	2	0.497885	12.4647
2	125.66	0.0630093	3	0.503628	10.1375
3	100.881	0.221236	4	0.499852	6.42037
4	85.3424	0.138747	5	0.49989	5.93628
5	73.066	0.185704	6	0.499925	6.16237
6	63.9463	0.194985	7	0.499925	5.68922
7	59.2024	0.329988	8	0.499893	5.41841
8	55.1919	0.296546	9	0.499916	5.21568
9	58.2902	0.522698	10	0.499831	5.44226
10	58.3025	0.190583	11	0.49971	5.33745
11	50.3584	0.149683	12	0.499869	4.63852
12	47.6717	0.236276	13	0.499931	4.49029
13	57.6647	0.672292	14	0.499733	4.86531
14	61.3025	0.388436	15	0.499524	5.35062
15	52.002	0.232923	16	0.49982	4.67896
