#1:iter	2:compliance	3:duration	4:volume	5:sub_prb_itr	6:lambda_volume
0 	1366.03 	0.097 	0.2 	0 	0
1 	31.9298 	0.003 	0.697885 	51 	10.7813
2 	11.5374 	0.002 	0.908348 	51 	33.3927
3 	18.3268 	0.003 	0.683311 	51 	44.4885
4 	16.1725 	0.002 	0.689295 	51 	55.0247
5 	18.7959 	0.003 	0.615173 	51 	61.3984
6 	18.9586 	0.003 	0.592892 	51 	66.3905
7 	19.7222 	0.003 	0.567612 	51 	69.9796
8 	20.2477 	0.003 	0.550775 	51 	72.656
9 	20.6911 	0.003 	0.538377 	51 	74.6691
10 	21.0273 	0.003 	0.529402 	51 	76.208
11 	21.2746 	0.003 	0.522825 	51 	77.4007
12 	21.4599 	0.003 	0.517884 	51 	78.335
13 	21.5998 	0.003 	0.514073 	51 	79.0702
14 	21.7184 	0.004 	0.510941 	51 	79.6413
15 	21.8429 	0.003 	0.50808 	51 	80.0629
16 	21.94 	0.003 	0.505812 	51 	80.366
17 	22.0172 	0.004 	0.503978 	51 	80.5733
18 	22.0777 	0.004 	0.502489 	51 	80.703
19 	22.1291 	0.004 	0.501223 	51 	80.7667
20 	22.1977 	0.004 	0.49987 	51 	80.76
21 	22.2278 	0.004 	0.499066 	51 	80.7114
22 	22.2572 	0.003 	0.49832 	51 	80.6243
23 	22.3006 	0.004 	0.497443 	51 	80.4916
24 	22.3278 	0.004 	0.496786 	51 	80.3249
25 	22.3566 	0.004 	0.49613 	51 	80.1244
