#1:iter	2:compliance	3:duration	4:volume	5:sub_prb_itr	6:lambda_volume
0 	1366.03 	0.099 	0.2 	0 	15
1 	34.9977 	0.003 	0.615886 	0 	1000.12
2 	41.1349 	0.002 	0.499646 	0 	195.432
3 	33.0634 	0.002 	0.49987 	0 	221.667
4 	28.6272 	0.003 	0.499934 	0 	162.724
5 	25.9048 	0.003 	0.499959 	0 	129.211
6 	24.4874 	0.003 	0.499976 	0 	101.835
7 	23.7468 	0.003 	0.499986 	0 	91.5984
8 	23.2832 	0.002 	0.499992 	0 	87.6944
9 	22.9761 	0.003 	0.499995 	0 	85.4484
10 	22.7557 	0.003 	0.499996 	0 	84.3072
11 	22.5905 	0.003 	0.499997 	0 	83.1468
12 	22.4652 	0.004 	0.499998 	0 	81.6632
13 	22.3682 	0.003 	0.499998 	0 	80.6204
14 	22.2899 	0.003 	0.499999 	0 	79.9861
15 	22.2246 	0.003 	0.499999 	0 	79.4921
16 	22.1692 	0.004 	0.499999 	0 	79.1482
17 	22.1246 	0.004 	0.499999 	0 	78.1947
18 	22.0882 	0.004 	0.499999 	0 	77.5764
19 	22.0571 	0.004 	0.499999 	0 	77.109
20 	22.031 	0.003 	0.499999 	0 	76.4113
21 	22.0077 	0.005 	0.499999 	0 	76.072
22 	21.9867 	0.004 	0.5 	0 	75.7917
23 	21.9676 	0.004 	0.5 	0 	75.3925
24 	21.9504 	0.004 	0.5 	0 	75.1529
25 	21.935 	0.004 	0.5 	0 	74.9725
26 	21.9224 	0.004 	0.5 	0 	74.3707
27 	21.9127 	0.005 	0.5 	0 	73.8538
28 	21.9045 	0.004 	0.5 	0 	73.8655
29 	21.8976 	0.005 	0.5 	0 	73.7061
30 	21.8918 	0.004 	0.5 	0 	73.4876
