#1:iter	2:compliance	3:duration	4:volume	5:sub_prb_itr	6:neg_asym_min	7:neg_asym_max	8:pos_asym_min	9:pos_asym_max	10:lambda_volume
0 	1366.03 	0.097 	0.2 	0 	0 	0 	0 	0 	0
1 	44.8464 	0.003 	0.582347 	51 	-0.2995 	-0.2995 	0.6995 	0.6995 	169.723
2 	35.0439 	0.002 	0.565874 	51 	-0.401123 	0.176419 	0.597877 	1.17542 	174.204
3 	32.7226 	0.003 	0.552737 	51 	-0.5984 	0.360901 	0.35065 	1.5597 	177.306
4 	32.48 	0.002 	0.527917 	51 	-0.5984 	0.360851 	0.35065 	1.71928 	179.13
5 	32.6549 	0.003 	0.498344 	51 	-0.5984 	0.324249 	0.35065 	1.86314 	179.462
6 	32.229 	0.003 	0.476684 	51 	-0.603195 	0.357093 	0.35065 	2.03576 	178.567
7 	31.4634 	0.003 	0.458913 	51 	-0.724034 	0.306439 	0.35065 	2.24292 	176.711
8 	30.8821 	0.003 	0.446757 	51 	-0.869041 	0.320476 	0.35065 	2.45323 	174.138
9 	31.7113 	0.003 	0.429024 	51 	-1.04305 	0.289857 	0.35065 	2.7898 	170.617
10 	31.5469 	0.002 	0.422445 	51 	-1.32686 	0.28072 	0.35065 	3.14776 	166.687
11 	31.8297 	0.003 	0.417153 	51 	-1.64648 	0.28072 	0.35065 	3.57731 	162.454
12 	32.0401 	0.004 	0.413107 	51 	-2.10724 	0.28072 	0.35065 	4.09277 	157.987
13 	31.9954 	0.003 	0.410716 	51 	-2.71133 	0.28072 	0.35065 	4.71133 	153.392
14 	31.5136 	0.004 	0.41156 	51 	-2.71133 	0.28072 	0.35065 	4.71133 	148.83
15 	31.4239 	0.003 	0.410038 	51 	-3.11651 	0.28072 	0.35065 	4.71133 	144.172
16 	31.0223 	0.003 	0.411444 	51 	-3.71711 	0.28072 	0.35065 	4.71133 	139.577
17 	31.1154 	0.004 	0.409544 	51 	-4.48822 	0.28072 	0.35065 	4.84337 	134.865
18 	30.5217 	0.004 	0.413155 	51 	-5.35838 	0.28072 	0.35065 	5.70551 	130.323
19 	30.7867 	0.003 	0.410169 	51 	-6.32389 	0.28072 	0.35065 	6.68427 	125.649
20 	30.4003 	0.004 	0.412967 	51 	-7.65643 	0.28072 	0.35065 	7.95072 	121.12
21 	30.0243 	0.004 	0.415859 	51 	-9.30785 	0.28072 	0.35065 	9.37439 	116.727
22 	29.3418 	0.004 	0.421498 	51 	-6.48044 	0.360866 	0.35065 	7.06939 	112.62
23 	28.5681 	0.004 	0.428122 	51 	-7.73365 	0.496997 	0.35065 	8.42462 	108.836
24 	27.7553 	0.004 	0.435366 	51 	-9.17401 	0.436614 	0.35065 	10.0303 	105.406
25 	27.0983 	0.004 	0.441412 	51 	-9.69753 	0.365609 	0.35065 	10.69 	102.272
26 	26.5456 	0.004 	0.446657 	51 	-9.6299 	0.282385 	0.35065 	10.7333 	99.4092
27 	26.0991 	0.004 	0.450927 	51 	-9.57401 	0.28072 	0.35065 	10.7755 	96.7562
28 	25.6414 	0.004 	0.455291 	51 	-9.53825 	0.28072 	0.35065 	10.8134 	94.3249
29 	25.133 	0.005 	0.460541 	51 	-9.51044 	0.28072 	0.35065 	10.9704 	92.1716
30 	24.8282 	0.004 	0.463637 	51 	-9.48206 	0.28072 	0.35065 	10.99 	90.1908
