#1:iter	2:compliance	3:duration	4:volume	5:sub_prb_itr	6:neg_asym_min	7:neg_asym_max	8:pos_asym_min	9:pos_asym_max	10:lambda_volume
0 	1366.03 	0.098 	0.2 	0 	0 	0 	0 	0 	15
1 	72.7857 	0.002 	0.465604 	0 	-0.2995 	-0.2995 	0.6995 	0.6995 	1000.44
2 	50.5703 	0.003 	0.484073 	0 	-0.4985 	0.144614 	0.5005 	1.14361 	292.765
3 	41.4434 	0.002 	0.492468 	0 	-0.5984 	0.305123 	0.410575 	1.50392 	249.42
4 	35.7989 	0.003 	0.492519 	0 	-0.5984 	0.28072 	0.42058 	1.71928 	208.611
5 	31.2778 	0.002 	0.493112 	0 	-0.5984 	0.28072 	0.42058 	1.86314 	171.056
6 	27.9296 	0.003 	0.494026 	0 	-0.603195 	0.360221 	0.42058 	2.03576 	142.762
7 	25.5238 	0.003 	0.495814 	0 	-0.724034 	0.306278 	0.42058 	2.24292 	121.111
8 	24.2028 	0.003 	0.49699 	0 	-0.932569 	0.28072 	0.42058 	2.4915 	96.9789
9 	23.361 	0.003 	0.497749 	0 	-1.19679 	0.28072 	0.42058 	2.7898 	85.0293
10 	22.8396 	0.003 	0.498635 	0 	-1.52999 	0.28072 	0.42058 	3.14776 	79.2516
11 	22.4869 	0.004 	0.498939 	0 	-1.95525 	0.28072 	0.42058 	3.57731 	76.0117
12 	22.346 	0.003 	0.499762 	0 	-2.4678 	0.28072 	0.42058 	4.09277 	77.6537
13 	22.2849 	0.003 	0.499804 	0 	-2.95927 	0.28072 	0.42058 	4.71133 	77.7843
14 	22.2295 	0.003 	0.499828 	0 	-3.63692 	0.28072 	0.42058 	5.34951 	77.7439
15 	22.1731 	0.003 	0.49981 	0 	-4.51765 	0.28072 	0.42058 	6.27475 	77.2854
16 	22.1049 	0.004 	0.499766 	0 	-5.57434 	0.28072 	0.42058 	7.38545 	76.6734
17 	22.0149 	0.003 	0.49968 	0 	-6.83478 	0.28072 	0.42058 	8.69581 	75.6918
18 	21.9366 	0.004 	0.4998 	0 	-8.33109 	0.28072 	0.42058 	10.1388 	74.6889
19 	21.8862 	0.004 	0.499876 	0 	-9.02657 	0.28072 	0.42058 	10.9534 	73.362
20 	21.8612 	0.004 	0.499919 	0 	-9.00653 	0.28072 	0.42058 	10.9735 	72.6224
21 	21.845 	0.004 	0.499949 	0 	-9.28783 	0.28072 	0.42058 	10.99 	72.6459
22 	21.834 	0.004 	0.499962 	0 	-9.989 	0.28072 	0.42058 	10.99 	73.0556
23 	21.8244 	0.004 	0.499968 	0 	-9.989 	0.28072 	0.42058 	10.99 	73.2133
24 	21.815 	0.004 	0.499966 	0 	-9.989 	0.28072 	0.42058 	10.99 	72.8279
25 	21.8034 	0.004 	0.499959 	0 	-9.989 	0.28072 	0.42058 	10.99 	72.5312
26 	21.7925 	0.004 	0.49996 	0 	-9.989 	0.28072 	0.42058 	10.99 	72.1176
27 	21.7863 	0.004 	0.499971 	0 	-9.989 	0.28072 	0.42058 	10.99 	72.5409
28 	21.784 	0.005 	0.499965 	0 	-9.989 	0.28072 	0.42058 	10.99 	71.6108
29 	21.785 	0.004 	0.499939 	0 	-9.989 	0.28072 	0.42058 	10.99 	73.3323
30 	21.783 	0.004 	0.499911 	0 	-9.989 	0.28072 	0.42058 	10.99 	69.4688
