#1:iter	2:slack	3:duration	4:compliance	5:compliance	6:volume	7:sub_prb_itr	8:neg_asym_min	9:neg_asym_max	10:pos_asym_min	11:pos_asym_max	12:lambda_compliance	13:lambda_compliance	14:lambda_volume
0 	0.5 	0.141 	24.4722 	24.4722 	0.5 	0 	0 	0 	0 	0 	15 	15 	15
1 	0.001 	0.004 	10.852 	10.852 	0.554239 	20 	-499.499 	-0.499 	1.499 	500.499 	0.102479 	0.102479 	16.0079
2 	13.716 	0.004 	13.3593 	13.3593 	0.490793 	12 	-499.998 	0.001 	1.13297 	500 	0.557998 	0.557998 	77.9708
3 	12.2834 	0.004 	12.2499 	12.2499 	0.497471 	4 	-336.283 	0.11064 	1.12302 	363.715 	0.49188 	0.49188 	73.9413
4 	11.7437 	0.004 	11.581 	11.581 	0.497505 	5 	-232.716 	0.327071 	0.918412 	257.283 	0.495613 	0.495613 	63.4101
5 	11.0646 	0.004 	10.9389 	10.9389 	0.497354 	4 	-338.256 	0.145428 	1.13752 	361.743 	0.496135 	0.496135 	58.7649
6 	10.5053 	0.004 	10.4124 	10.4124 	0.497911 	4 	-488.934 	0.001 	1.42814 	511.064 	0.497768 	0.497768 	56.4255
7 	10.0803 	0.003 	10.0442 	10.0442 	0.498762 	4 	-703.779 	0.001 	1.42814 	724.79 	0.498812 	0.498812 	53.4691
8 	9.89178 	0.004 	9.87872 	9.87872 	0.499141 	4 	-1010.33 	0.001 	1.42814 	1030.49 	0.499631 	0.499631 	50.8418
9 	9.78081 	0.004 	9.76748 	9.76748 	0.499581 	4 	-1447.83 	0.001 	1.42814 	1467.61 	0.499848 	0.499848 	48.5736
10 	9.71324 	0.004 	9.70513 	9.70513 	0.499787 	4 	-2072.68 	0.001 	1.42814 	2092.24 	0.499935 	0.499935 	46.9899
11 	9.67015 	0.004 	9.66944 	9.66944 	0.499719 	3 	-2965.23 	0.001 	1.42814 	2984.66 	0.499971 	0.499971 	46.0625
12 	9.59512 	0.004 	9.62168 	9.62168 	0.499459 	3 	-4240.25 	0.001 	1.42814 	4259.59 	0.499965 	0.499965 	45.6792
13 	9.50804 	0.004 	9.6327 	9.6327 	0.499345 	3 	-6061.72 	0.001 	1.42814 	6080.91 	0.499971 	0.499971 	44.6162
14 	9.49789 	0.004 	9.61066 	9.61066 	0.499147 	4 	-8663.8 	0.001 	1.42814 	8682.82 	0.499998 	0.499998 	47.3429
15 	9.53658 	0.005 	9.56476 	9.56476 	0.499599 	5 	-12380.9 	0.0638527 	1.42814 	12399.9 	0.500006 	0.500006 	44.4055
