#1:iter	2:compliance	3:duration	4:volume	5:lambda	6:lambda_iters
0 	94.723809 	0.138000 	0.500000	 -1	 -1
1 	57.753819 	0.007000 	0.500000	 355.297327041626	 24
2 	41.297708 	0.007000 	0.500001	 280.52031993865967	 25
3 	32.670792 	0.008000 	0.499998	 206.97414875030518	 25
4 	28.158491 	0.007000 	0.500000	 151.79812908172607	 25
5 	25.913451 	0.009000 	0.499998	 105.23945093154907	 26
6 	24.833478 	0.008000 	0.499999	 87.35209703445435	 26
7 	24.198846 	0.007000 	0.499999	 82.92347192764282	 26
8 	23.788787 	0.008000 	0.500001	 80.34855127334595	 26
9 	23.508133 	0.008000 	0.500001	 78.07165384292603	 26
10 	23.304542 	0.008000 	0.500001	 75.550377368927	 26
