#1:iter	2:compliance	3:duration	4:volume	5:globalSlope
0 	171.747 	0 	0.5 	0
1 	115.991 	0 	0.5 	0
2 	93.827 	0 	0.5 	0.005224
3 	62.6944 	0 	0.5 	0.855684
4 	57.0909 	1 	0.5 	0.414366
5 	52.2402 	0 	0.5 	0.564783
6 	50.529 	0 	0.5 	0.939168
7 	51.3183 	0 	0.5 	0.519478
8 	50.0368 	0 	0.5 	0.718996
9 	50.5706 	0 	0.5 	0.437475
10 	49.2656 	0 	0.5 	0.574216
11 	48.4989 	1 	0.5 	0.443298
12 	47.7466 	0 	0.5 	0.465372
13 	47.5979 	0 	0.5 	0.326794
14 	46.9071 	0 	0.5 	0.449818
15 	46.1032 	0 	0.5 	0.515436
16 	46.4967 	0 	0.5 	0.290137
17 	46.3142 	0 	0.5 	0.32069
18 	46.9421 	0 	0.5 	0.203612
19 	46.5193 	1 	0.5 	0.23616
20 	47.038 	0 	0.5 	0.155383
21 	46.6912 	0 	0.5 	0.174674
22 	46.9862 	0 	0.5 	0.105862
23 	46.8437 	0 	0.5 	0.112986
24 	46.7112 	0 	0.5 	0.139549
25 	46.7957 	0 	0.5 	0.0841335
26 	46.4543 	1 	0.5 	0.204224
27 	46.6722 	0 	0.5 	0.0739215
28 	46.1462 	0 	0.5 	0.19398
29 	46.4695 	0 	0.5 	0.0656695
