#1:iter	2:compliance	3:duration	4:plain_volume	5:lambda	6:lambda_iters	7:lower	8:upper
0 	56.5305 	0.144 	0.5 	0 	0 	0 	0
1 	39.4707 	0.011 	0.5 	119.612 	25 	119.612 	119.615
2 	29.36 	0.009 	0.499999 	106.537 	17 	106.535 	106.537
3 	24.0161 	0.008 	0.5 	93.0369 	16 	93.0369 	93.0393
4 	21.5787 	0.009 	0.5 	76.0293 	17 	76.0283 	76.0293
5 	20.4187 	0.009 	0.5 	57.1757 	16 	57.174 	57.1757
6 	19.8632 	0.009 	0.499999 	50.2067 	13 	50.1963 	50.2067
7 	19.5763 	0.009 	0.5 	48.2792 	13 	48.2792 	48.2884
8 	19.4066 	0.009 	0.5 	47.8601 	15 	47.8601 	47.8623
9 	19.2722 	0.011 	0.500001 	48.1982 	15 	48.1982 	48.2004
10 	19.1979 	0.009 	0.500001 	47.4488 	15 	47.4488 	47.451
11 	19.1398 	0.009 	0.5 	47.6841 	15 	47.6819 	47.6841
12 	19.0806 	0.009 	0.500001 	48.4488 	15 	48.4488 	48.451
13 	19.0165 	0.01 	0.5 	49.0683 	14 	49.0639 	49.0683
14 	18.9431 	0.009 	0.5 	49.6216 	15 	49.6194 	49.6216
