#1:iter	2:compliance	3:duration	4:perimeter	5:nObj
0 	98.7112 	0.0535477 	0 	1
1 	61.6829 	0.00749475 	0.00582269 	5
2 	61.6829 	0.00463975 	0.00582269 	7
3 	1035.73 	0.005456 	0.0529186 	9
4 	104.521 	0.00640608 	0.123247 	11
5 	71.2803 	0.00460413 	0.153852 	12
6 	61.3772 	0.00542371 	0.150452 	13
7 	50.6991 	0.00423817 	0.150105 	14
8 	41.6729 	0.00522771 	0.150351 	15
9 	35.3975 	0.00520788 	0.150425 	16
10 	31.698 	0.00543004 	0.150107 	17
11 	29.4632 	0.00544754 	0.150026 	18
12 	27.8957 	0.00594879 	0.150098 	19
13 	26.8532 	0.00573246 	0.150083 	20
14 	26.0583 	0.00589525 	0.15004 	21
15 	25.2198 	0.00483858 	0.150038 	22
16 	25.2143 	0.00765054 	0.150002 	24
17 	25.0314 	0.00574913 	0.15 	25
18 	20.4738 	0.00507875 	0.15325 	26
19 	18.9835 	0.00479729 	0.151093 	27
20 	18.8968 	0.00824408 	0.150216 	29
21 	18.2806 	0.00539883 	0.150666 	30
