#1:iter	2:multiObjectiveValue	3:perimeter	4:duration	5:volume	6:compliance
0 	0 	0 	0.0589482 	0.5 	98.7112
1 	0 	0 	0.00112896 	0.5 	98.7112
2 	0.0284075 	0.0284075 	0.00207421 	0.541045 	41.7728
3 	0.0432876 	0.0432876 	0.0021245 	0.659617 	22.1818
4 	0.058104 	0.058104 	0.00197317 	0.663905 	19.6846
5 	0.0680515 	0.0680515 	0.00195337 	0.643822 	19.7402
6 	0.0794667 	0.0794667 	0.00228871 	0.622846 	19.7063
7 	0.0936274 	0.0936274 	0.00196958 	0.595475 	19.588
8 	0.100087 	0.100087 	0.00191267 	0.562659 	19.5627
9 	0.10783 	0.10783 	0.00206987 	0.532162 	19.6012
10 	0.116663 	0.116663 	0.00216642 	0.50911 	19.6851
11 	0.11817 	0.11817 	0.00221767 	0.496661 	19.8171
12 	0.121662 	0.121662 	0.00200163 	0.494858 	19.7143
13 	0.116567 	0.116567 	0.00197358 	0.494343 	19.7238
14 	0.114534 	0.114534 	0.0020885 	0.494592 	19.7881
15 	0.114599 	0.114599 	0.00200217 	0.494163 	19.774
16 	0.119924 	0.119924 	0.00208358 	0.493474 	19.7955
