#1:iter	2:compliance	3:duration	4:volume	5:greyness	6:lambda	7:lambda_iters	8:beta	9:delta_beta	10:f_change	11:transition_zone	12:move_limit
0 	87.3866 	0.224 	0.500074 	0.999999 	-1 	-1	 1.000000	 -1	 -1	 0	 0
1 	57.8356 	0.006 	0.5 	0.954239 	374.559 	25	 1.0	 -1	 0.9773721368752653	 0	 0
2 	47.3822 	0.005 	0.5 	0.886587 	318.837 	20	 1.2	 0.2457145043193794	 -4.914290086387588	 0	 0
3 	41.3001 	0.007 	0.499999 	0.837903 	270.719 	18	 1.44	 0.5032684398814821	 -10.065368797629642	 0.7105476609041859	 0.14210953218083716
4 	37.3259 	0.007 	0.499999 	0.785386 	229.164 	19	 1.728	 0.7290426038633697	 -14.580852077267393	 0.7093745330504351	 0.141874906610087
5 	34.2964 	0.007 	0.5 	0.730623 	201.443 	19	 2.0736	 0.9892186747086481	 -19.78437349417296	 0.7015261442764945	 0.1403052288552989
6 	31.815 	0.006 	0.500001 	0.675191 	180.421 	17	 2.48832	 1.1820661434185666	 -23.641322868371333	 0.6879611318326715	 0.1375922263665343
7 	29.637 	0.007 	0.5 	0.618963 	162.04 	18	 2.9859839999999997	 1.3321352822292218	 -26.642705644584435	 0.6701809809758114	 0.13403619619516227
8 	27.6583 	0.007 	0.5 	0.560648 	145.742 	19	 3.5831808	 1.410790668929367	 -28.215813378587338	 0.6500653168030806	 0.1300130633606161
9 	25.8361 	0.007 	0.5 	0.500097 	129.53 	18	 4.299817200000001	 1.447770353315033	 -28.95540706630066	 0.6294852929769152	 0.12589705859538305
10 	24.168 	0.007 	0.5 	0.437361 	114.252 	19	 5.1597804	 1.4678843691638654	 -29.35768738327731	 0.5472157711169392	 0.10944315422338784
11 	22.702 	0.007 	0.5 	0.375787 	99.5317 	17	 6.191736	 1.4988398749232674	 -29.976797498465345	 0.4566244425183556	 0.09132488850367113
12 	21.4645 	0.007 	0.5 	0.316727 	86.1012 	16	 7.430083199999999	 1.5985578894019197	 -31.97115778803839	 0.3807389122187893	 0.07614778244375786
13 	20.4352 	0.007 	0.5 	0.262276 	74.3209 	19	 8.916099599999999	 1.78451480612043	 -35.6902961224086	 0.31732813091979795	 0.0634656261839596
14 	19.6017 	0.007 	0.5 	0.211781 	64.1424 	18	 10.69932	 2.0353039470565166	 -40.70607894113033	 0.2644446892881871	 0.052888937857637416
15 	18.9441 	0.007 	0.5 	0.167093 	56.5694 	19	 12.839184	 2.4017966259497827	 -48.03593251899565	 0.22039353488679725	 0.04407870697735945
16 	18.4433 	0.007 	0.500001 	0.128066 	50.099 	18	 15.4070208	 2.930435926286344	 -58.60871852572688	 0.1836502687588185	 0.036730053751763705
17 	18.0614 	0.006 	0.500001 	0.0956357 	44.8323 	15	 18.488425200000002	 3.7327502341249117	 -74.65500468249823	 0.15306925693881934	 0.030613851387763867
18 	17.7861 	0.007 	0.5 	0.0683626 	40.844 	17	 22.18611	 4.7803393474953095	 -95.60678694990618	 0.1275310452566497	 0.025506209051329942
19 	17.6027 	0.008 	0.500001 	0.0495316 	40.826 	17	 26.623331999999998	 6.510635306937852	 -130.21270613875703	 0.10631362251613441	 0.02126272450322688
20 	17.5984 	0.006 	0.5 	0.048524 	40.0488 	17	 26.623332	 9.64688803354037	 -192.93776067080736	 0.10631362251613441	 0.02126272450322688
