#1:iter	2:slack	3:objective_0_f_0	4:objective_1_f_1	5:objective_2_f_2	6:duration	7:compliance_f_0	8:compliance_f_1	9:compliance_f_2	10:volume_f_2	11:nObj
0 	0.5 	0 	0 	0.5 	0.0617827 	1353.43 	2769.42 	1658.82 	0.5 	1
1 	1.5 	0 	0 	1.5 	0.00587808 	1352.77 	2764.79 	1657.44 	0.500661 	2
2 	2.5 	0 	0 	2.5 	0.00697742 	1352.13 	2760.23 	1656.09 	0.501314 	3
3 	9.5 	0 	0 	9.5 	0.00692429 	1352.33 	2755.59 	1656.11 	0.50131 	4
4 	30.5 	0 	0 	30.5 	0.00806033 	1353 	2741.91 	1656.32 	0.501308 	5
5 	93.5 	0 	0 	93.5 	0.00809346 	1355.94 	2701.75 	1657.9 	0.501363 	6
6 	282.5 	0 	0 	282.5 	0.00790775 	1368.15 	2594.49 	1670.5 	0.501927 	7
7 	849.5 	0 	0 	849.5 	0.00636483 	1415.56 	2349.38 	1726.17 	0.505592 	8
8 	1825.63 	0 	0 	1825.63 	0.00608258 	1610.47 	1985.63 	1768.52 	0.504822 	9
9 	1944.55 	0 	0 	1944.55 	0.00611863 	1590.24 	1955.73 	1742.66 	0.504816 	10
10 	1941.62 	0 	0 	1941.62 	0.0109127 	1580.55 	1951.27 	1729.87 	0.50303 	12
11 	1941.85 	0 	0 	1941.85 	0.010785 	1574.18 	1947.48 	1723.3 	0.502455 	14
12 	1942.99 	0 	0 	1942.99 	0.0110589 	1572.2 	1946.24 	1722.76 	0.501614 	16
13 	1942.3 	0 	0 	1942.3 	0.0113137 	1571.9 	1944.77 	1721.4 	0.501168 	18
14 	1945.62 	0 	0 	1945.62 	0.00663258 	1574.95 	1945.87 	1724.59 	0.500288 	19
15 	1945.32 	0 	0 	1945.32 	0.0117338 	1574.31 	1945.5 	1724.17 	0.500233 	21
16 	1945.41 	0 	0 	1945.41 	0.00675308 	1573.53 	1945.7 	1724.16 	0.50009 	22
17 	1945.18 	0 	0 	1945.18 	0.00687412 	1572.87 	1945.39 	1723.88 	0.500024 	23
18 	1944.55 	0 	0 	1944.55 	0.00700371 	1573.05 	1945.08 	1724.18 	0.499899 	24
19 	1944.2 	0 	0 	1944.2 	0.0124958 	1573.12 	1944.43 	1723.9 	0.500006 	26
20 	1943.77 	0 	0 	1943.77 	0.0129033 	1572.84 	1944.08 	1723.14 	0.499997 	28
21 	1943.57 	0 	0 	1943.57 	0.0130499 	1571.99 	1944 	1722.43 	0.499925 	30
22 	1943.37 	0 	0 	1943.37 	0.0133932 	1571.8 	1943.65 	1722.31 	0.49998 	32
23 	1942.89 	0 	0 	1942.89 	0.0135118 	1571.81 	1943.08 	1722.16 	0.50004 	34
24 	1942.41 	0 	0 	1942.41 	0.00804521 	1570.79 	1942.62 	1721.53 	0.500082 	35
25 	1942.52 	0 	0 	1942.52 	0.00803679 	1571.39 	1942.62 	1722.06 	0.500013 	36
26 	1942.68 	0 	0 	1942.68 	0.0140759 	1571.41 	1942.68 	1722.09 	0.5 	38
27 	1941.89 	0 	0 	1941.89 	0.0144043 	1571.3 	1942.22 	1721.88 	0.499938 	40
28 	1941.75 	0 	0 	1941.75 	0.01498 	1572.24 	1941.99 	1722.66 	0.499971 	42
29 	1941.37 	0 	0 	1941.37 	0.00882204 	1576.31 	1942.12 	1726.56 	0.499783 	43
30 	1940.92 	0 	0 	1940.92 	0.00900946 	1576.79 	1941.05 	1727.01 	0.5 	44
