#1:iter	2:slack	3:objective_0_f_0	4:objective_1_f_1	5:objective_2_f_2	6:duration	7:output_out1_f_0	8:output_out1_f_1	9:output_out1_f_2	10:volume_f_2
0 	0 	0 	0 	0 	0.126185 	0.140383 	0.145363 	0.143635 	0.500224
1 	0 	0 	0 	0 	0.0237724 	-0.0659175 	-0.0566043 	-0.064731 	0.264328
2 	-0.184268 	0 	0 	-0.184268 	0.0185928 	-0.293792 	-0.227552 	-0.26676 	0.242621
3 	-0.463757 	0 	0 	-0.463757 	0.0177672 	-0.48375 	-0.392471 	-0.449541 	0.254858
4 	-0.561034 	0 	0 	-0.561034 	0.0172043 	-0.597536 	-0.533278 	-0.577156 	0.288347
5 	-0.601724 	0 	0 	-0.601724 	0.0171351 	-0.680649 	-0.629336 	-0.667615 	0.317437
6 	-0.675422 	0 	0 	-0.675422 	0.0164182 	-0.734707 	-0.693333 	-0.726429 	0.333742
7 	-0.72071 	0 	0 	-0.72071 	0.0162716 	-0.766515 	-0.734641 	-0.762099 	0.339918
8 	-0.754585 	0 	0 	-0.754585 	0.0165856 	-0.793091 	-0.765813 	-0.790832 	0.342703
9 	-0.779177 	0 	0 	-0.779177 	0.016033 	-0.801437 	-0.784068 	-0.803522 	0.345801
10 	-0.792672 	0 	0 	-0.792672 	0.0174397 	-0.809937 	-0.796898 	-0.814108 	0.346312
11 	-0.805374 	0 	0 	-0.805374 	0.0165333 	-0.819058 	-0.810543 	-0.825191 	0.346903
12 	-0.819311 	0 	0 	-0.819311 	0.0165639 	-0.829494 	-0.825308 	-0.837554 	0.347137
13 	-0.83473 	0 	0 	-0.83473 	0.0167408 	-0.842254 	-0.840611 	-0.851451 	0.347548
14 	-0.846693 	0 	0 	-0.846693 	0.0164855 	-0.850206 	-0.850066 	-0.86017 	0.347902
15 	-0.855206 	0 	0 	-0.855206 	0.017127 	-0.861236 	-0.859818 	-0.870753 	0.348737
16 	-0.863176 	0 	0 	-0.863176 	0.0166072 	-0.865208 	-0.864118 	-0.874543 	0.348953
17 	-0.865954 	0 	0 	-0.865954 	0.0169538 	-0.866663 	-0.866255 	-0.876209 	0.349224
18 	-0.867394 	0 	0 	-0.867394 	0.0166664 	-0.867994 	-0.867648 	-0.877508 	0.349511
19 	-0.86827 	0 	0 	-0.86827 	0.016316 	-0.868293 	-0.868347 	-0.877976 	0.349729
20 	-0.868739 	0 	0 	-0.868739 	0.0152296 	-0.868601 	-0.868739 	-0.878321 	0.349841
