#1:iter	2:slack	3:objective_0_f_0	4:objective_1_f_1	5:objective_2_f_2	6:duration	7:compliance_f_0	8:compliance_f_1	9:compliance_f_2	10:volume_f_2	11:nObj
0 	0.5 	0 	0 	0.5 	0.732221 	1501.6 	12582 	2735.87 	0.5 	1
1 	1.5 	0 	0 	1.5 	0.00619287 	1500.2 	12551.3 	2724.86 	0.500841 	2
2 	2.5 	0 	0 	2.5 	0.00755846 	1498.82 	12520.7 	2714.01 	0.501681 	3
3 	9.5 	0 	0 	9.5 	0.00756488 	1498.51 	12466.5 	2707.9 	0.501676 	4
4 	30.5 	0 	0 	30.5 	0.00737908 	1498.7 	12312.4 	2691.62 	0.501666 	5
5 	93.5 	0 	0 	93.5 	0.00805142 	1501.68 	11866.4 	2646.88 	0.501676 	6
6 	282.5 	0 	0 	282.5 	0.00811554 	1507.55 	10340.9 	2537.01 	0.502752 	7
7 	849.5 	0 	0 	849.5 	0.008202 	1629.48 	5111.32 	2406 	0.515503 	8
8 	1588.29 	0 	0 	1588.29 	0.00760308 	1870.92 	3457.18 	2218.9 	0.51549 	9
9 	1970.96 	0 	0 	1970.96 	0.007453 	1766.6 	2901.17 	2068.03 	0.50653 	10
10 	1914.14 	0 	0 	1914.14 	0.00779271 	1689.99 	2374.47 	1899.72 	0.512648 	11
11 	2281.95 	0 	0 	2281.95 	0.00696275 	1725.71 	2325.35 	1913.17 	0.503975 	12
12 	2207.68 	0 	0 	2207.68 	0.00678488 	1694.28 	2227.32 	1859.48 	0.507355 	13
13 	2220.34 	0 	0 	2220.34 	0.00687037 	1697.01 	2239.1 	1865.83 	0.502198 	14
14 	2245.83 	0 	0 	2245.83 	0.00701925 	1700.79 	2249.5 	1875.5 	0.499257 	15
15 	2240.21 	0 	0 	2240.21 	0.00696954 	1701.57 	2241.02 	1871.92 	0.500309 	16
16 	2240.79 	0 	0 	2240.79 	0.00713188 	1700.85 	2241.14 	1872.71 	0.500141 	17
17 	2241.42 	0 	0 	2241.42 	0.00710292 	1700.5 	2241.44 	1873.85 	0.500072 	18
18 	2241.37 	0 	0 	2241.37 	0.0124977 	1700.24 	2241.41 	1873.86 	0.500056 	20
19 	2241.42 	0 	0 	2241.42 	0.013055 	1700.17 	2241.45 	1873.73 	0.500042 	22
20 	2241.71 	0 	0 	2241.71 	0.0082385 	1700.34 	2241.71 	1873.85 	0.5 	23
21 	2241.71 	0 	0 	2241.71 	0.0135867 	1700.37 	2241.71 	1873.87 	0.5 	25
22 	2241.71 	0 	0 	2241.71 	0.00810658 	1700.42 	2241.71 	1873.87 	0.5 	26
23 	2241.71 	0 	0 	2241.71 	0.00824717 	1700.46 	2241.71 	1873.87 	0.5 	27
24 	2241.71 	0 	0 	2241.71 	0.00861167 	1700.46 	2241.71 	1873.87 	0.5 	28
25 	2241.71 	0 	0 	2241.71 	0.00872183 	1700.46 	2241.71 	1873.87 	0.5 	29
