#1:iter	2:slack	3:objective_0_f_0	4:objective_1_f_1	5:objective_2_f_2	6:duration	7:compliance_f_0	8:compliance_f_1	9:compliance_f_2	10:volume_f_2	11:nObj
0 	0.5 	0 	0 	0.5 	0.0624027 	1363.48 	2806.88 	1658.82 	0.5 	1
1 	1.5 	0 	0 	1.5 	0.00522237 	1362.75 	2802.9 	1657.45 	0.500656 	2
2 	2.5 	0 	0 	2.5 	0.00685504 	1362.05 	2798.06 	1656.05 	0.501332 	3
3 	9.5 	0 	0 	9.5 	0.00515258 	1362.27 	2793.26 	1656.07 	0.501328 	4
4 	30.5 	0 	0 	30.5 	0.00495475 	1363.05 	2779.18 	1656.31 	0.501326 	5
5 	93.5 	0 	0 	93.5 	0.00482842 	1366.29 	2738.51 	1658.09 	0.501384 	6
6 	282.5 	0 	0 	282.5 	0.00526063 	1377.73 	2638.58 	1671.01 	0.501995 	7
7 	849.5 	0 	0 	849.5 	0.00513867 	1431.75 	2398.53 	1718.05 	0.503623 	8
8 	1891.56 	0 	0 	1891.56 	0.00482946 	1660.39 	2045.93 	1759.91 	0.503856 	9
9 	1980.46 	0 	0 	1980.46 	0.00499683 	1642.24 	2007.54 	1736.56 	0.507599 	10
10 	1980.12 	0 	0 	1980.12 	0.00887242 	1617.76 	2001.98 	1722.91 	0.50632 	12
11 	1982.74 	0 	0 	1982.74 	0.00920208 	1604.49 	1998.1 	1715.51 	0.505482 	14
12 	1988.9 	0 	0 	1988.9 	0.00861154 	1606.87 	2000.47 	1718.02 	0.50427 	16
13 	1992.59 	0 	0 	1992.59 	0.008508 	1607.18 	2001.47 	1719.88 	0.503383 	18
14 	2008.4 	0 	0 	2008.4 	0.004495 	1618.16 	2008.97 	1726.15 	0.500563 	19
15 	2009.13 	0 	0 	2009.13 	0.00842721 	1618.18 	2009.55 	1726.11 	0.50025 	21
