#1:iter	2:compliance	3:duration	4:volume	5:max_abs_slope	6:infeas_count_slope	7:nObj
0 	171.747 	0.0549305 	0.5 	5.51953e-07 	0 	2
1 	122.276 	0.00657871 	0.5 	0.3 	0 	3
2 	88.026 	0.00306912 	0.5 	0.3 	32 	4
3 	66.063 	0.00386921 	0.5 	0.3 	43 	5
4 	56.1954 	0.0024965 	0.5 	0.3 	45 	6
5 	53.442 	0.00259154 	0.5 	0.3 	51 	7
6 	51.5968 	0.00240067 	0.5 	0.3 	62 	8
7 	50.5006 	0.00252271 	0.5 	0.3 	79 	9
8 	49.8255 	0.00268417 	0.5 	0.3 	88 	10
9 	49.3734 	0.00261542 	0.5 	0.3 	101 	11
10 	49.0888 	0.0026165 	0.5 	0.3 	101 	12
11 	48.8538 	0.00267742 	0.5 	0.3 	101 	13
12 	48.5996 	0.00279779 	0.5 	0.3 	104 	14
13 	48.3423 	0.00303979 	0.5 	0.3 	101 	15
14 	47.5601 	0.00274417 	0.5 	0.3 	105 	16
15 	47.4505 	0.00288621 	0.5 	0.3 	110 	17
16 	47.2691 	0.00315729 	0.5 	0.3 	113 	18
17 	47.1841 	0.00300133 	0.5 	0.3 	114 	19
18 	47.0138 	0.00306638 	0.5 	0.3 	111 	20
19 	46.9569 	0.00288513 	0.5 	0.3 	112 	21
20 	46.8949 	0.00317283 	0.5 	0.3 	115 	22
