#1:iter	2:compliance	3:duration	4:volume
0 	152.88 	0 	0.300001
1 	95.9758 	0 	0.35749
2 	65.5544 	0 	0.41498
3 	46.8664 	0 	0.476662
4 	36.4779 	0 	0.495894
5 	33.266 	0 	0.496973
6 	32.6414 	0 	0.4973
7 	31.8646 	0 	0.496764
8 	31.4256 	0 	0.497691
9 	31.3143 	1 	0.498018
10 	31.4505 	0 	0.49777
11 	31.0229 	0 	0.498062
12 	30.837 	0 	0.499216
13 	30.7415 	0 	0.499436
14 	30.6634 	0 	0.499828
15 	30.6398 	0 	0.499984
16 	30.6375 	0 	0.499999
17 	30.6372 	0 	0.499999
18 	30.637 	0 	0.5
19 	30.6369 	0 	0.5
20 	30.6367 	0 	0.5
