#1:iter	2:compliance	3:duration	4:min_abs_overhang_hor_(shape_map)	5:infeas_count_overhang_hor_(shape_map)	6:max_abs_curvature_(node)	7:infeas_count_curvature_(node)	8:max_abs_curvature_(profile)	9:infeas_count_curvature_(profile)	10:volume
0 	246.086 	0.268 	0.061508 	16 	0 	0 	0 	0 	0.359714
1 	106.684 	0.008 	0.0624058 	14 	0.0113124 	0 	0.00282811 	0 	0.461616
2 	225.344 	0.007 	0.0624984 	14 	0.00326811 	0 	0.00311982 	0 	0.377608
3 	84.276 	0.007 	0.062464 	14 	0.00625523 	0 	0.0030115 	0 	0.417474
4 	51.1551 	0.007 	0.0625 	16 	0.00312503 	0 	0.003125 	10 	0.495358
5 	80.5462 	0.008 	0.0624656 	14 	0.00611179 	0 	0.0030167 	0 	0.421238
6 	63.5061 	0.009 	0.0625 	15 	0.0125 	1 	0.003125 	6 	0.486323
7 	60.6514 	0.013 	0.0624786 	13 	0.00659979 	0 	0.00305762 	0 	0.449867
8 	72.8212 	0.007 	0.0624698 	13 	0.00527044 	0 	0.00302973 	0 	0.430609
9 	53.7472 	0.006 	0.0625 	14 	0.0125 	0 	0.003125 	3 	0.489251
10 	55.1882 	0.007 	0.0624879 	11 	0.00627235 	0 	0.00225792 	0 	0.470773
11 	60.0972 	0.006 	0.0625 	16 	0.003125 	0 	0.003125 	7 	0.489246
12 	51.348 	0.007 	0.0624925 	11 	0.00272141 	0 	0.00258557 	0 	0.480562
13 	44.6875 	0.007 	0.0625 	16 	0.003125 	0 	0.003125 	7 	0.496964
14 	43.7524 	0.007 	0.0625 	16 	0.003125 	0 	0.003125 	6 	0.499883
15 	43.54 	0.007 	0.0625 	16 	0.003125 	0 	0.003125 	3 	0.499902
16 	43.4816 	0.049 	0.0625 	16 	0.003125 	0 	0.003125 	7 	0.499919
17 	43.4381 	0.007 	0.0625 	16 	0.003125 	0 	0.003125 	7 	0.499895
18 	43.4196 	0.007 	0.0625 	16 	0.003125 	0 	0.003125 	7 	0.499745
19 	43.3556 	0.007 	0.0625 	16 	0.003125 	0 	0.003125 	7 	0.499944
20 	43.352 	0.006 	0.0625 	16 	0.003125 	0 	0.003125 	7 	0.499947
21 	43.3371 	0.008 	0.0625 	16 	0.003125 	0 	0.003125 	7 	0.499985
22 	43.3301 	0.006 	0.0625 	16 	0.003125 	0 	0.003125 	7 	0.499999
23 	43.3305 	0.009 	0.0625 	16 	0.003125 	0 	0.003125 	6 	0.499972
24 	43.3249 	0.007 	0.0625 	16 	0.003125 	0 	0.003125 	8 	0.499991
25 	43.3221 	0.007 	0.0625 	16 	0.003125 	0 	0.003125 	8 	0.499998
26 	43.3212 	0.007 	0.0625 	16 	0.003125 	0 	0.003125 	8 	0.5
