#1:iter	2:compliance	3:duration	4:volume
0 	253.065 	0 	0.358445
1 	253.065 	0 	0.358445
2 	597.586 	0 	0.345958
3 	194.869 	0 	0.365451
4 	208.251 	1 	0.441279
5 	126.107 	0 	0.403867
6 	83.808 	0 	0.453571
7 	64.3724 	0 	0.493336
8 	59.7758 	0 	0.499873
9 	58.0841 	0 	0.500687
10 	59.7579 	0 	0.500001
11 	57.4461 	0 	0.500148
12 	56.3792 	0 	0.500297
13 	56.209 	0 	0.499862
14 	56.1065 	0 	0.499985
15 	55.7436 	0 	0.500239
16 	55.7388 	0 	0.499925
17 	55.5462 	0 	0.500477
18 	55.6426 	0 	0.500031
19 	55.6448 	0 	0.499997
20 	55.633 	0 	0.500002
21 	55.6324 	0 	0.499998
22 	55.6308 	0 	0.5
23 	55.6303 	0 	0.500001
24 	55.6305 	0 	0.5
25 	55.6304 	0 	0.5
26 	55.6304 	0 	0.5
27 	55.6304 	0 	0.5
28 	55.6304 	0 	0.5
29 	55.6304 	0 	0.5
30 	55.6304 	0 	0.5
