#1:iter	2:compliance	3:duration	4:max_abs_slope_(profile)	5:infeas_count_slope_(profile)	6:max_abs_curvature_(profile)	7:infeas_count_curvature_(profile)	8:max_abs_periodic_(profile)	9:infeas_count_periodic_(profile)	10:volume	11:nObj
0 	6.06212 	0.0586612 	3.54652e-07 	0 	7.093e-07 	0 	3.5462e-11 	0 	0.2008 	2
1 	4.96095 	0.00360096 	0.05 	0 	0.0125 	3 	0 	0 	0.300031 	3
2 	4.64432 	0.0056465 	0.0300938 	0 	0.0125 	0 	0 	0 	0.29997 	5
3 	4.59073 	0.00301783 	0.0250975 	0 	0.0125 	2 	0 	0 	0.300001 	6
4 	4.58435 	0.00299587 	0.0221619 	0 	0.0125 	2 	0 	0 	0.300001 	7
5 	4.58411 	0.00300121 	0.0221708 	0 	0.0125 	2 	0 	0 	0.3 	8
6 	4.58409 	0.00304529 	0.0221924 	0 	0.0125 	2 	0 	0 	0.3 	9
7 	4.58409 	0.002996 	0.0221696 	0 	0.0125 	2 	0 	0 	0.3 	10
8 	4.58408 	0.00296933 	0.0221384 	0 	0.0125 	2 	0 	0 	0.3 	11
9 	4.58408 	0.00308804 	0.0221153 	0 	0.0125 	2 	0 	0 	0.3 	12
10 	4.58408 	0.00307842 	0.0220986 	0 	0.0125 	2 	0 	0 	0.3 	13
