#1:iter	2:compliance	3:duration	4:max_abs_slope_(node)	5:infeas_count_slope_(node)	6:max_abs_slope_(profile)	7:infeas_count_slope_(profile)	8:volume	9:nObj
0 	1447.67 	0.0574341 	0 	0 	0 	0 	0.125001 	1
1 	57.1488 	0.00321267 	0 	0 	0.05 	18 	0.49991 	2
2 	36.7399 	0.00469837 	0 	0 	0.05 	7 	0.499455 	4
3 	34.4275 	0.00259925 	0 	0 	0.05 	4 	0.5 	5
4 	32.3741 	0.00271279 	0 	0 	0.05 	3 	0.5 	6
5 	31.6435 	0.00268538 	0 	0 	0.05 	2 	0.5 	7
6 	31.2039 	0.00258879 	0 	0 	0.05 	1 	0.5 	8
7 	30.9122 	0.00273163 	0 	0 	0.05 	3 	0.5 	9
8 	30.7091 	0.00271029 	0 	0 	0.05 	1 	0.5 	10
9 	30.6317 	0.00279792 	0 	0 	0.05 	2 	0.5 	11
10 	30.5825 	0.00274529 	0 	0 	0.05 	2 	0.5 	12
