#1:iter	2:compliance	3:duration	4:max_abs_curvature_(profile)	5:infeas_count_curvature_(profile)	6:volume	7:nObj
0 	330.019 	0.099616 	0 	0 	0.110912 	1
1 	148.272 	0.077451 	0.00483437 	0 	0.181505 	3
2 	136.365 	0.118058 	0.00286303 	0 	0.19124 	6
3 	95.5284 	0.0401044 	0.0125 	1 	0.253989 	7
4 	97.2259 	0.0397677 	0.0125 	1 	0.250014 	8
5 	97.1803 	0.0400058 	0.0125 	2 	0.250003 	9
6 	97.1645 	0.039727 	0.0125 	2 	0.250002 	10
7 	97.1632 	0.0401199 	0.0125 	2 	0.25 	11
8 	97.1601 	0.0460342 	0.0125 	2 	0.25 	12
9 	97.1586 	0.0438907 	0.0125 	2 	0.25 	13
10 	97.1545 	0.0400406 	0.0125 	2 	0.250001 	14
11 	97.1552 	0.0794727 	0.0125 	2 	0.25 	16
12 	97.1521 	0.0399495 	0.0125 	3 	0.25 	17
