#1:iter	2:compliance	3:duration	4:max_abs_slope_(profile)	5:infeas_count_slope_(profile)	6:volume	7:nObj
0 	1447.67 	0.0568051 	0 	0 	0.125001 	1
1 	57.1488 	0.00298117 	0.05 	18 	0.49991 	2
2 	36.7399 	0.00540729 	0.05 	7 	0.499455 	4
3 	34.4275 	0.0029865 	0.05 	4 	0.5 	5
4 	32.3741 	0.00265683 	0.05 	3 	0.5 	6
5 	31.6435 	0.00259463 	0.05 	2 	0.5 	7
6 	31.2039 	0.00252963 	0.05 	1 	0.5 	8
7 	30.9122 	0.00255933 	0.05 	3 	0.5 	9
8 	30.7091 	0.00271288 	0.05 	1 	0.5 	10
9 	30.6317 	0.00268771 	0.05 	2 	0.5 	11
10 	30.5825 	0.00264925 	0.05 	2 	0.5 	12
